id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,4,34fe5477ff81d87d,,query,2024-11-04 06:40:33.400188,2024-11-04 06:40:36.296013,[],OK,,1730702433.400188,1730702436.296013,0,1,2,1,1,1,4,20,8,1,1,1,1,1,1,1,1,"['2024-11-04 06:40:33,459 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-04 06:40:33,463 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:33,468 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,469 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,470 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,470 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,471 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,471 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,471 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,474 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,474 - httpx - [_client.py:1786] - INFO', '2024-11-04 06:40:33,475 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,476 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,477 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,477 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,477 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,477 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,491 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:33,494 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-04 06:40:33,896 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:33,897 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-04 06:40:33,898 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-04 06:40:33,901 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 06:40:33,902 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,902 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,902 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,903 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,904 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,904 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,282 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,283 - httpx - [_client.py:1786] - INFO', '2024-11-04 06:40:36,284 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,284 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,285 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,285 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,285 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 06:40:36,294 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:36,295 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-04 06:40:33,969 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 06:40:33,971 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 06:40:35,568 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 06:40:36,261 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 06:40:36,283 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.895825147628784
2,4,380ea6eb85120dc2,34fe5477ff81d87d,retrieve,2024-11-04 06:40:33.401033,2024-11-04 06:40:33.484428,[],OK,,1730702433.401033,1730702433.484428,0,1,1,0,0,0,1,10,4,0,0,0,0,0,0,0,0,"['2024-11-04 06:40:33,459 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-04 06:40:33,463 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:33,468 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,469 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,470 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,470 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,471 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,471 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,471 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,474 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,474 - httpx - [_client.py:1786] - INFO', '2024-11-04 06:40:33,475 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,476 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,477 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,477 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,477 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,477 - httpcore.connection - [_trace.py:85] - DEBUG']",26.4,1005,0.08339500427246094
3,4,525bdc8869a6b1a0,380ea6eb85120dc2,embedding,2024-11-04 06:40:33.401807,2024-11-04 06:40:33.456131,[],OK,,1730702433.401807,1730702433.456131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],26.4,1005,0.05432391166687012
4,4,473dbbf391f5468c,34fe5477ff81d87d,reranking,2024-11-04 06:40:33.503717,2024-11-04 06:40:33.892031,[],OK,,1730702433.503717,1730702433.892031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],26.4,1005,0.38831400871276855
5,4,8e667cfd12c5567c,34fe5477ff81d87d,llm,2024-11-04 06:40:33.898563,2024-11-04 06:40:36.287811,[],OK,,1730702433.898563,1730702436.287811,0,0,1,0,0,0,0,10,4,0,1,1,1,1,1,1,1,"['2024-11-04 06:40:33,901 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 06:40:33,902 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,902 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,902 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,903 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,904 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:33,904 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,282 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,283 - httpx - [_client.py:1786] - INFO', '2024-11-04 06:40:36,284 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,284 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,285 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,285 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,285 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 06:40:33,969 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 06:40:33,971 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 06:40:35,568 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 06:40:36,261 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 06:40:36,283 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.3892481327056885
6,4,03c54c71fca05536,8e667cfd12c5567c,llm_request,2024-11-04 06:40:33.969047,2024-11-04 06:40:36.261205,[],OK,,1730702433.969047,1730702436.261205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,2.2921578884124756
7,4,bef890812174ddf6,03c54c71fca05536,llm_scheduler,2024-11-04 14:40:33.991890,2024-11-04 14:40:34.014734,[],OK,,1730702433.9918902,1730702434.0147336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],63.3,1005,0.022843360900878906
8,4,c99c29d272dab806,03c54c71fca05536,llm_generate,2024-11-04 14:40:34.714867,2024-11-04 14:40:36.235021,[],OK,,1730702434.7148669,1730702436.235021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],63.3,1005,1.5201542377471924
9,5,14420754f32d7ba2,,query,2024-11-04 06:40:36.307853,2024-11-04 06:40:37.942335,[],OK,,1730702436.307853,1730702437.942335,0,0,2,1,1,1,4,20,4,1,1,1,0,1,1,1,1,"['2024-11-04 06:40:36,362 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:36,367 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,368 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,368 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,369 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,369 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,369 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,370 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,372 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,372 - httpx - [_client.py:1786] - INFO', '2024-11-04 06:40:36,372 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,375 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,375 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,375 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,375 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,376 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,388 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:36,390 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-04 06:40:36,778 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:36,779 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-04 06:40:36,779 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-04 06:40:36,783 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 06:40:36,784 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,785 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:37,930 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:37,931 - httpx - [_client.py:1786] - INFO', '2024-11-04 06:40:37,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:37,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:37,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:37,933 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:37,933 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 06:40:37,940 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:37,942 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-04 06:40:36,804 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 06:40:36,806 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 06:40:37,910 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 06:40:37,931 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,1.6344819068908691
10,5,8f6d4f23c29c25fd,14420754f32d7ba2,retrieve,2024-11-04 06:40:36.308636,2024-11-04 06:40:36.382485,[],OK,,1730702436.308636,1730702436.382485,0,0,1,0,0,0,1,10,4,0,0,0,0,0,0,0,0,"['2024-11-04 06:40:36,362 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 06:40:36,367 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,368 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,368 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,369 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,369 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,369 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,370 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,372 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,372 - httpx - [_client.py:1786] - INFO', '2024-11-04 06:40:36,372 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,375 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,375 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,375 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,375 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 06:40:36,376 - httpcore.connection - [_trace.py:85] - DEBUG']",26.4,1005,0.07384896278381348
