id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,915,573b582f11bafc12,,query,2024-11-04 16:26:31.068382,2024-11-04 16:26:47.545731,[],OK,,1730737591.068382,1730737607.545731,1,1,4,8,2,1,0,1,2,1,20,1,1,1,3,1,1,"['2024-11-04 16:26:31,126 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-04 16:26:31,131 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:31,136 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,137 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,138 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,138 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,138 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,139 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,139 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,142 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,142 - httpx - [_client.py:1786] - INFO', '2024-11-04 16:26:31,142 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,144 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,144 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,145 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,145 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,145 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,159 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:31,163 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-04 16:26:31,548 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:31,549 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-04 16:26:31,549 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-04 16:26:31,552 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 16:26:31,553 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,554 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,554 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,554 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,533 - httpx - [_client.py:1786] - INFO', '2024-11-04 16:26:47,533 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,534 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,534 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,535 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,535 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 16:26:47,540 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-04 16:26:47,544 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:47,545 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-04 16:26:32,335 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 16:26:32,337 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 16:26:33,232 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 16:26:38,236 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 16:26:43,633 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 16:26:46,831 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 16:26:47,532 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,16.477349042892456
2,915,176d4e1fef57e602,573b582f11bafc12,retrieve,2024-11-04 16:26:31.069350,2024-11-04 16:26:31.152264,[],OK,,1730737591.06935,1730737591.152264,0,0,1,4,1,0,0,0,1,0,10,0,0,0,0,0,0,"['2024-11-04 16:26:31,126 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-04 16:26:31,131 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:31,136 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,137 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,138 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,138 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,138 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,139 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,139 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,142 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,142 - httpx - [_client.py:1786] - INFO', '2024-11-04 16:26:31,142 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,144 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,144 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,145 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,145 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,145 - httpcore.connection - [_trace.py:85] - DEBUG']",11.4,1005,0.08291411399841309
3,915,2d6aeda084df445b,176d4e1fef57e602,embedding,2024-11-04 16:26:31.070174,2024-11-04 16:26:31.123688,[],OK,,1730737591.070174,1730737591.123688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],11.4,1005,0.05351400375366211
4,915,8548d8f3a7816869,573b582f11bafc12,reranking,2024-11-04 16:26:31.166567,2024-11-04 16:26:31.544127,[],OK,,1730737591.166567,1730737591.544127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],11.4,1005,0.3775599002838135
5,915,353c8e3796e4ef80,573b582f11bafc12,llm,2024-11-04 16:26:31.550530,2024-11-04 16:26:47.537303,[],OK,,1730737591.55053,1730737607.537303,0,0,0,4,1,1,0,1,0,0,10,0,1,1,3,1,1,"['2024-11-04 16:26:31,552 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 16:26:31,553 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,554 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,554 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,554 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:31,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,533 - httpx - [_client.py:1786] - INFO', '2024-11-04 16:26:47,533 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,534 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,534 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,535 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,535 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 16:26:32,335 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 16:26:32,337 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 16:26:33,232 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 16:26:38,236 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 16:26:43,633 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 16:26:46,831 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 16:26:47,532 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,15.986773014068604
6,915,842c0b1c69e219df,353c8e3796e4ef80,llm_request,2024-11-04 16:26:32.335815,2024-11-04 16:26:46.738239,[],OK,,1730737592.335815,1730737606.738239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,14.402424097061157
7,915,5138c99b4b1afab8,842c0b1c69e219df,llm_scheduler,2024-11-05 00:26:32.832893,2024-11-05 00:26:33.329970,[],OK,,1730737592.832893,1730737593.32997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],6.2,1005,0.49707698822021484
8,915,2276c2df880e494c,842c0b1c69e219df,llm_generate,2024-11-05 00:26:34.135827,2024-11-05 00:26:46.232272,[],OK,,1730737594.1358268,1730737606.232272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],7.466666666666666,1005,12.096445083618164
9,916,8fddb798f141a6a4,,query,2024-11-04 16:26:47.556061,2024-11-04 16:26:52.445769,[],OK,,1730737607.556061,1730737612.445769,1,1,4,4,2,1,0,1,0,1,20,1,1,1,1,1,1,"['2024-11-04 16:26:47,615 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:47,619 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,620 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,620 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,621 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,621 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,621 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,622 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,625 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,625 - httpx - [_client.py:1786] - INFO', '2024-11-04 16:26:47,626 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,628 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,628 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,628 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,628 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,629 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,643 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:47,646 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-04 16:26:48,027 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:48,028 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-04 16:26:48,028 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-04 16:26:48,031 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 16:26:48,032 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:48,032 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:48,032 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:48,033 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:48,033 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:52,438 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:52,439 - httpx - [_client.py:1786] - INFO', '2024-11-04 16:26:52,439 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:52,439 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:52,440 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:52,440 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:52,440 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 16:26:52,445 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:52,445 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-04 16:26:48,734 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 16:26:48,831 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 16:26:50,735 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 16:26:52,138 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 16:26:52,439 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,4.889708042144775
10,916,b4defaa9c86e4836,8fddb798f141a6a4,retrieve,2024-11-04 16:26:47.556788,2024-11-04 16:26:47.636224,[],OK,,1730737607.556788,1730737607.636224,0,0,1,4,1,0,0,0,0,0,10,0,0,0,0,0,0,"['2024-11-04 16:26:47,615 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 16:26:47,619 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,620 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,620 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,621 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,621 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,621 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,622 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,625 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,625 - httpx - [_client.py:1786] - INFO', '2024-11-04 16:26:47,626 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,628 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,628 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,628 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,628 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 16:26:47,629 - httpcore.connection - [_trace.py:85] - DEBUG']",11.6,1005,0.07943606376647949
