id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,1521,97cb4ee7a623f19c,,query,2024-11-05 01:04:20.868165,2024-11-05 01:04:23.763760,[],OK,,1730768660.868165,1730768663.76376,1,2,4,4,1,1,1,0,1,20,1,0,1,1,1,0,1,"['2024-11-05 01:04:20,924 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:20,929 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,931 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,931 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,935 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,935 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:04:20,935 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,937 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,937 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,937 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,938 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,938 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,951 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:20,954 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-05 01:04:21,338 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:21,339 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-05 01:04:21,339 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-05 01:04:21,342 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 01:04:21,343 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:21,343 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:21,343 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:21,344 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:21,344 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,751 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,751 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:04:23,752 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,752 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,753 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,753 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,754 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 01:04:23,762 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:23,763 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-05 01:04:21,415 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 01:04:21,418 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 01:04:23,731 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 01:04:23,751 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.895595073699951
2,1521,82db705c770a75fe,97cb4ee7a623f19c,retrieve,2024-11-05 01:04:20.868899,2024-11-05 01:04:20.944762,[],OK,,1730768660.868899,1730768660.944762,0,1,1,4,0,0,0,0,0,10,0,0,0,0,0,0,0,"['2024-11-05 01:04:20,924 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:20,929 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,931 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,931 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,932 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,935 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,935 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:04:20,935 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,937 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,937 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,937 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,938 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:20,938 - httpcore.connection - [_trace.py:85] - DEBUG']",34.2,1005,0.07586288452148438
3,1521,1a5a79e166eaee53,82db705c770a75fe,embedding,2024-11-05 01:04:20.869616,2024-11-05 01:04:20.916795,[],OK,,1730768660.869616,1730768660.916795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],34.2,405,0.04717898368835449
4,1521,22655f455b544f90,97cb4ee7a623f19c,reranking,2024-11-05 01:04:20.957402,2024-11-05 01:04:21.334535,[],OK,,1730768660.957402,1730768661.334535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],34.2,1005,0.3771328926086426
5,1521,328abeed06b71521,97cb4ee7a623f19c,llm,2024-11-05 01:04:21.340272,2024-11-05 01:04:23.755767,[],OK,,1730768661.340272,1730768663.755767,0,1,0,0,1,0,1,0,0,10,0,0,1,1,1,0,1,"['2024-11-05 01:04:21,342 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 01:04:21,343 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:21,343 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:21,343 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:21,344 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:21,344 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,751 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,751 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:04:23,752 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,752 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,753 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,753 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,754 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 01:04:21,415 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 01:04:21,418 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 01:04:23,731 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 01:04:23,751 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.4154951572418213
6,1521,bb9f69820803174d,328abeed06b71521,llm_request,2024-11-05 01:04:21.415621,2024-11-05 01:04:23.731295,[],OK,,1730768661.415621,1730768663.731295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,2.315674066543579
7,1521,eb3602c08bef3aa5,bb9f69820803174d,llm_scheduler,2024-11-05 09:04:21.437149,2024-11-05 09:04:21.458676,[],OK,,1730768661.4371486,1730768661.458676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],74.7,1005,0.021527528762817383
8,1521,75f14038f434a654,bb9f69820803174d,llm_generate,2024-11-05 09:04:22.165281,2024-11-05 09:04:23.718085,[],OK,,1730768662.1652806,1730768663.718085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],74.7,1005,1.5528044700622559
9,1522,cc302d14e027aef1,,query,2024-11-05 01:04:23.776225,2024-11-05 01:04:25.446521,[],OK,,1730768663.776225,1730768665.446521,1,2,4,4,1,1,1,0,1,20,1,0,1,1,1,1,1,"['2024-11-05 01:04:23,832 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:23,836 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,838 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,838 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,839 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,839 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,839 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,839 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,841 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,842 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:04:23,842 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,845 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,845 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,845 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,845 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,846 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,861 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:23,864 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-05 01:04:24,249 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:24,250 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-05 01:04:24,250 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-05 01:04:24,253 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 01:04:24,254 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:24,255 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:24,255 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:24,255 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:24,255 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:25,434 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:25,435 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:04:25,435 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:25,436 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:25,436 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:25,437 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:25,437 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 01:04:25,445 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:25,446 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-05 01:04:24,323 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 01:04:24,326 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 01:04:25,147 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-05 01:04:25,414 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 01:04:25,435 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,1.6702959537506104
10,1522,cefa8dff12362eab,cc302d14e027aef1,retrieve,2024-11-05 01:04:23.776977,2024-11-05 01:04:23.853920,[],OK,,1730768663.776977,1730768663.85392,0,1,1,4,0,0,0,0,0,10,0,0,0,0,0,0,0,"['2024-11-05 01:04:23,832 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:04:23,836 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,838 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,838 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,839 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,839 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,839 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,839 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,841 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,842 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:04:23,842 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,845 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,845 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,845 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,845 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:04:23,846 - httpcore.connection - [_trace.py:85] - DEBUG']",34.2,1005,0.07694292068481445
