id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,1621,73960e86d1c718e2,,query,2024-11-05 01:21:25.220819,2024-11-05 01:21:28.175345,[],OK,,1730769685.220819,1730769688.175345,4,1,1,2,1,8,1,20,1,1,1,0,1,1,1,1,1,"['2024-11-05 01:21:25,279 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-05 01:21:25,283 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:25,288 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,289 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,290 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,290 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,290 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,291 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,291 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,294 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,295 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:21:25,295 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,296 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,297 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,297 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,297 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,298 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,311 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:25,314 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-05 01:21:25,699 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:25,699 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-05 01:21:25,700 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-05 01:21:25,703 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 01:21:25,704 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,704 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,704 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,163 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,163 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:21:28,164 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,164 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,165 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,165 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,166 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 01:21:28,174 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:28,175 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-05 01:21:25,733 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 01:21:25,735 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 01:21:26,498 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-05 01:21:28,142 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 01:21:28,163 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.954525947570801
2,1621,c3bda65922b35621,73960e86d1c718e2,retrieve,2024-11-05 01:21:25.221809,2024-11-05 01:21:25.304460,[],OK,,1730769685.221809,1730769685.30446,1,0,0,1,0,4,0,10,0,1,0,0,0,0,0,0,0,"['2024-11-05 01:21:25,279 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-05 01:21:25,283 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:25,288 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,289 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,290 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,290 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,290 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,291 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,291 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,294 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,295 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:21:25,295 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,296 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,297 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,297 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,297 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,298 - httpcore.connection - [_trace.py:85] - DEBUG']",24.6,1005,0.08265113830566406
3,1621,4ff1ad5f37af64fc,c3bda65922b35621,embedding,2024-11-05 01:21:25.222617,2024-11-05 01:21:25.276118,[],OK,,1730769685.222617,1730769685.276118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],24.6,600,0.053501129150390625
4,1621,6b5f5ebb7b082ca2,73960e86d1c718e2,reranking,2024-11-05 01:21:25.316643,2024-11-05 01:21:25.695026,[],OK,,1730769685.316643,1730769685.695026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],24.6,1005,0.37838292121887207
5,1621,b4d33e9bf3cea4c2,73960e86d1c718e2,llm,2024-11-05 01:21:25.700740,2024-11-05 01:21:28.167926,[],OK,,1730769685.70074,1730769688.167926,0,1,0,1,0,4,1,10,0,0,0,0,1,1,1,1,1,"['2024-11-05 01:21:25,703 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 01:21:25,704 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,704 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,704 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:25,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,163 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,163 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:21:28,164 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,164 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,165 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,165 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,166 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 01:21:25,733 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 01:21:25,735 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 01:21:26,498 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-05 01:21:28,142 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 01:21:28,163 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.4671859741210938
6,1621,68bf06b128220647,b4d33e9bf3cea4c2,llm_request,2024-11-05 01:21:25.733438,2024-11-05 01:21:28.141361,[],OK,,1730769685.733438,1730769688.141361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,2.4079229831695557
7,1621,080e6d5a589c3121,68bf06b128220647,llm_scheduler,2024-11-05 09:21:25.751575,2024-11-05 09:21:25.769711,[],OK,,1730769685.751575,1730769685.7697115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],62.1,1005,0.01813650131225586
8,1621,7b0ac3ade6f6f060,68bf06b128220647,llm_generate,2024-11-05 09:21:26.480397,2024-11-05 09:21:28.114803,[],OK,,1730769686.4803972,1730769688.1148028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],62.1,1005,1.6344056129455566
9,1622,6df888a41a273b3c,,query,2024-11-05 01:21:28.185683,2024-11-05 01:21:29.713428,[],OK,,1730769688.185683,1730769689.713428,4,1,1,2,1,4,1,20,1,0,1,0,0,1,1,1,1,"['2024-11-05 01:21:28,243 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:28,248 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,249 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,249 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,250 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,250 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,250 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,251 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,253 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,254 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:21:28,254 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,256 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,257 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,257 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,257 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,257 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,273 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:28,275 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-05 01:21:28,661 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:28,661 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-05 01:21:28,662 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-05 01:21:28,665 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 01:21:28,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:29,701 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:29,702 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:21:29,702 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:29,703 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:29,703 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:29,704 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:29,704 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 01:21:29,712 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:29,713 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-05 01:21:28,719 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 01:21:28,722 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 01:21:29,680 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 01:21:29,702 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,1.527745008468628
10,1622,2208e0b8c103ea99,6df888a41a273b3c,retrieve,2024-11-05 01:21:28.186441,2024-11-05 01:21:28.265621,[],OK,,1730769688.186441,1730769688.265621,1,0,0,1,0,4,0,10,0,0,0,0,0,0,0,0,0,"['2024-11-05 01:21:28,243 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 01:21:28,248 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,249 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,249 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,250 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,250 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,250 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,251 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,253 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,254 - httpx - [_client.py:1786] - INFO', '2024-11-05 01:21:28,254 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,256 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,257 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,257 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,257 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 01:21:28,257 - httpcore.connection - [_trace.py:85] - DEBUG']",24.6,1005,0.07918000221252441
