id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,2523,9a44a0955a65cc91,,query,2024-11-05 09:36:55.672044,2024-11-05 09:36:59.841694,[],OK,,1730799415.672044,1730799419.841694,1,0,1,2,1,1,1,1,8,20,1,4,1,1,1,1,0,"['2024-11-05 09:36:55,698 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-05 09:36:55,701 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:36:55,704 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,705 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,706 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,706 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,709 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,709 - httpx - [_client.py:1786] - INFO', '2024-11-05 09:36:55,709 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,710 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,711 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,711 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,711 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,711 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,718 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:36:55,719 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-05 09:36:56,098 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:36:56,099 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-05 09:36:56,099 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-05 09:36:56,102 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 09:36:56,103 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,104 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,104 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,834 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,834 - httpx - [_client.py:1786] - INFO', '2024-11-05 09:36:59,834 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,835 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,835 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,836 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,836 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 09:36:59,841 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:36:59,841 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-05 09:36:56,177 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 09:36:56,180 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 09:36:59,812 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 09:36:59,835 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,4.169650077819824
2,2523,56ccbd1ade4f8941,9a44a0955a65cc91,retrieve,2024-11-05 09:36:55.672698,2024-11-05 09:36:55.714433,[],OK,,1730799415.672698,1730799415.714433,0,0,0,1,0,0,0,0,4,10,1,1,0,0,0,0,0,"['2024-11-05 09:36:55,698 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-05 09:36:55,701 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:36:55,704 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,705 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,705 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,706 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,706 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,709 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,709 - httpx - [_client.py:1786] - INFO', '2024-11-05 09:36:55,709 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,710 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,711 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,711 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,711 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:55,711 - httpcore.connection - [_trace.py:85] - DEBUG']",11.2,1005,0.041734933853149414
3,2523,d3724bd28acf110c,56ccbd1ade4f8941,embedding,2024-11-05 09:36:55.673083,2024-11-05 09:36:55.696612,[],OK,,1730799415.673083,1730799415.696612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],11.2,1005,0.0235288143157959
4,2523,c3f262e70d551d8b,9a44a0955a65cc91,reranking,2024-11-05 09:36:55.721534,2024-11-05 09:36:56.094468,[],OK,,1730799415.721534,1730799416.094468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],11.2,1005,0.37293410301208496
5,2523,114b23e0be0e4d90,9a44a0955a65cc91,llm,2024-11-05 09:36:56.100357,2024-11-05 09:36:59.837102,[],OK,,1730799416.100357,1730799419.837102,0,0,0,1,0,1,1,0,4,10,0,0,1,1,1,1,0,"['2024-11-05 09:36:56,102 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 09:36:56,103 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,104 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,104 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:56,105 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,834 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,834 - httpx - [_client.py:1786] - INFO', '2024-11-05 09:36:59,834 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,835 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,835 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,836 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,836 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 09:36:56,177 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 09:36:56,180 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 09:36:59,812 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 09:36:59,835 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,3.7367448806762695
6,2523,e5bfb90d0c4008e9,114b23e0be0e4d90,llm_request,2024-11-05 09:36:56.177608,2024-11-05 09:36:59.811885,[],OK,,1730799416.177608,1730799419.811885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,3.634277105331421
7,2523,f15749f709476c0f,e5bfb90d0c4008e9,llm_scheduler,2024-11-05 17:36:56.198941,2024-11-05 17:36:56.220274,[],OK,,1730799416.1989408,1730799416.2202735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],74.9,405,0.021332740783691406
8,2523,b94469481b15ca4f,e5bfb90d0c4008e9,llm_generate,2024-11-05 17:36:57.926731,2024-11-05 17:36:59.783524,[],OK,,1730799417.9267309,1730799419.7835245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],74.9,405,1.8567936420440674
9,2524,2fdd08b3123137ba,,query,2024-11-05 09:36:59.848730,2024-11-05 09:37:02.426701,[],OK,,1730799419.84873,1730799422.426701,1,0,1,2,1,1,1,1,4,20,0,4,1,1,1,1,1,"['2024-11-05 09:36:59,869 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:36:59,871 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,872 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,875 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,875 - httpx - [_client.py:1786] - INFO', '2024-11-05 09:36:59,875 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,884 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:36:59,886 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-05 09:37:00,265 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:37:00,265 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-05 09:37:00,266 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-05 09:37:00,269 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 09:37:00,270 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:00,270 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:00,270 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:00,271 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:00,272 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:02,418 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:02,419 - httpx - [_client.py:1786] - INFO', '2024-11-05 09:37:02,419 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:02,420 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:02,420 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:02,420 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:37:02,421 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 09:37:02,426 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:37:02,426 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-05 09:37:00,338 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 09:37:00,341 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 09:37:02,246 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-05 09:37:02,397 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 09:37:02,419 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.5779709815979004
10,2524,c3dc546f9fddaf32,2fdd08b3123137ba,retrieve,2024-11-05 09:36:59.849046,2024-11-05 09:36:59.880884,[],OK,,1730799419.849046,1730799419.880884,0,0,0,1,0,0,0,0,4,10,0,1,0,0,0,0,0,"['2024-11-05 09:36:59,869 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 09:36:59,871 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,872 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,873 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,875 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,875 - httpx - [_client.py:1786] - INFO', '2024-11-05 09:36:59,875 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 09:36:59,877 - httpcore.connection - [_trace.py:85] - DEBUG']",26.6,1005,0.03183794021606445
