id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,3257,5eae7c772f62a6de,,query,2024-11-05 16:46:59.829391,2024-11-05 16:47:08.564554,[],OK,,1730825219.829391,1730825228.564554,3,1,2,4,8,1,1,1,0,1,20,1,0,1,1,1,1,1,"['2024-11-05 16:46:59,888 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:46:59,893 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,895 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,895 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,896 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,896 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,896 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,896 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,899 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,899 - httpx - [_client.py:1786] - INFO', '2024-11-05 16:46:59,900 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,902 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,903 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,904 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,920 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:46:59,923 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-05 16:47:00,318 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:47:00,319 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-05 16:47:00,319 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-05 16:47:00,323 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 16:47:00,329 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,329 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,329 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,330 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,330 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,331 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,331 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,331 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,331 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,545 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,545 - httpx - [_client.py:1786] - INFO', '2024-11-05 16:47:02,546 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,547 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,547 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,547 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,548 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 16:47:02,556 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:47:02,557 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-05 16:47:04,559 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-05 16:47:06,561 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-05 16:47:08,564 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-05 16:47:00,395 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 16:47:00,398 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 16:47:01,104 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-05 16:47:02,524 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 16:47:02,545 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,8.73516297340393
2,3257,b1deed8619ebc409,5eae7c772f62a6de,retrieve,2024-11-05 16:46:59.830360,2024-11-05 16:46:59.911873,[],OK,,1730825219.83036,1730825219.911873,0,0,1,1,4,0,0,0,0,0,10,0,0,0,0,0,0,0,"['2024-11-05 16:46:59,888 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:46:59,893 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,895 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,895 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,896 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,896 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,896 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,896 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,899 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,899 - httpx - [_client.py:1786] - INFO', '2024-11-05 16:46:59,900 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,902 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,903 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,903 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:46:59,904 - httpcore.connection - [_trace.py:85] - DEBUG']",12.4,1005,0.0815131664276123
3,3257,d79a7b6de7c64167,b1deed8619ebc409,embedding,2024-11-05 16:46:59.831250,2024-11-05 16:46:59.882456,[],OK,,1730825219.83125,1730825219.882456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],12.4,1005,0.051206111907958984
4,3257,b07f5c86b01f4d7c,5eae7c772f62a6de,reranking,2024-11-05 16:46:59.926166,2024-11-05 16:47:00.312966,[],OK,,1730825219.926166,1730825220.312966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],12.4,1005,0.38680005073547363
5,3257,1555c9b4fc64de7e,5eae7c772f62a6de,llm,2024-11-05 16:47:00.320748,2024-11-05 16:47:02.549949,[],OK,,1730825220.320748,1730825222.549949,0,0,1,0,4,1,0,1,0,0,10,0,0,1,1,1,1,1,"['2024-11-05 16:47:00,323 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 16:47:00,329 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,329 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,329 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,330 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,330 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,331 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,331 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,331 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:00,331 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,545 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,545 - httpx - [_client.py:1786] - INFO', '2024-11-05 16:47:02,546 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,547 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,547 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,547 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:47:02,548 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 16:47:00,395 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 16:47:00,398 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 16:47:01,104 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-05 16:47:02,524 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 16:47:02,545 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.229200839996338
6,3257,88239867c5dd967b,1555c9b4fc64de7e,llm_request,2024-11-05 16:47:00.395587,2024-11-05 16:47:02.523781,[],OK,,1730825220.395587,1730825222.523781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,2.1281940937042236
7,3257,fd019bdb6d7cf9aa,88239867c5dd967b,llm_scheduler,2024-11-06 00:47:00.417517,2024-11-06 00:47:00.439446,[],OK,,1730825220.417517,1730825220.4394464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],7.2,1005,0.021929502487182617
8,3257,2e43fc26b9c34602,88239867c5dd967b,llm_generate,2024-11-06 00:47:01.086587,2024-11-06 00:47:02.498250,[],OK,,1730825221.0865874,1730825222.49825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],7.2,1005,1.4116625785827637
9,3291,278763d4a166511b,,query,2024-11-05 16:52:00.113981,2024-11-05 16:52:08.110017,[],OK,,1730825520.113981,1730825528.110017,3,1,2,4,8,1,1,1,0,1,20,1,0,1,1,1,1,1,"['2024-11-05 16:52:00,146 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:52:00,150 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,151 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,152 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,152 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,152 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,153 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,153 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,155 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,155 - httpx - [_client.py:1786] - INFO', '2024-11-05 16:52:00,155 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,157 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,158 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,166 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:52:00,168 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-05 16:52:00,550 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:52:00,551 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-05 16:52:00,551 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-05 16:52:00,554 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-05 16:52:00,555 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,555 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,556 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,556 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,557 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,557 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,557 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,557 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,557 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:02,090 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:02,091 - httpx - [_client.py:1786] - INFO', '2024-11-05 16:52:02,091 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:02,092 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:02,092 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:02,092 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:02,093 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-05 16:52:02,101 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:52:02,102 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-05 16:52:04,104 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-05 16:52:06,107 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-05 16:52:08,109 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-11-05 16:52:00,623 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-05 16:52:00,625 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-05 16:52:01,473 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-05 16:52:02,069 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-05 16:52:02,090 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,7.996036052703857
10,3291,af1395dac99ee8b5,278763d4a166511b,retrieve,2024-11-05 16:52:00.114783,2024-11-05 16:52:00.162925,[],OK,,1730825520.114783,1730825520.162925,0,0,1,1,4,0,0,0,0,0,10,0,0,0,0,0,0,0,"['2024-11-05 16:52:00,146 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-05 16:52:00,150 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,151 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,152 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,152 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,152 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,153 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,153 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,155 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,155 - httpx - [_client.py:1786] - INFO', '2024-11-05 16:52:00,155 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,157 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-05 16:52:00,158 - httpcore.connection - [_trace.py:85] - DEBUG']",11.6,1005,0.0481419563293457
