id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@httpcore.connection - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,3646,32d874e85a860d88,,query,2024-11-06 02:25:22.442341,2024-11-06 02:25:33.417447,[],OK,,1730859922.442341,1730859933.417447,20,2,1,2,1,1,1,8,1,1,4,0,1,1,1,1,4,"['2024-11-06 02:25:22,469 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 02:25:22,473 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:22,477 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,478 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,482 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,482 - httpx - [_client.py:1786] - INFO', '2024-11-06 02:25:22,482 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,493 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:22,494 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-06 02:25:22,875 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:22,876 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-06 02:25:22,877 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-06 02:25:22,880 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 02:25:22,881 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,881 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,881 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,882 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,882 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,882 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,882 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,883 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,883 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,403 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,404 - httpx - [_client.py:1786] - INFO', '2024-11-06 02:25:33,405 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,405 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,406 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,406 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,406 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 02:25:33,411 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 02:25:33,416 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:33,417 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-06 02:25:24,950 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:26,954 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:28,957 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:30,962 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:30,967 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 02:25:30,973 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-06 02:25:33,382 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 02:25:33,404 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,10.975106000900269
2,3646,7bf7ff301780cd01,32d874e85a860d88,retrieve,2024-11-06 02:25:22.442769,2024-11-06 02:25:22.488312,[],OK,,1730859922.442769,1730859922.488312,10,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,"['2024-11-06 02:25:22,469 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 02:25:22,473 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:22,477 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,478 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,479 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,482 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,482 - httpx - [_client.py:1786] - INFO', '2024-11-06 02:25:22,482 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,484 - httpcore.connection - [_trace.py:85] - DEBUG']",13.2,1005,0.04554295539855957
3,3646,5e335ff82431e2a6,7bf7ff301780cd01,embedding,2024-11-06 02:25:22.443118,2024-11-06 02:25:22.467978,[],OK,,1730859922.443118,1730859922.467978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],13.2,1005,0.024859905242919922
4,3646,ef67859ebefbf53f,32d874e85a860d88,reranking,2024-11-06 02:25:22.495821,2024-11-06 02:25:22.870761,[],OK,,1730859922.495821,1730859922.870761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],13.2,1005,0.3749399185180664
5,3646,ab73934772a00367,32d874e85a860d88,llm,2024-11-06 02:25:22.877768,2024-11-06 02:25:33.408757,[],OK,,1730859922.877768,1730859933.408757,10,0,1,1,0,1,0,4,0,0,0,0,1,1,1,1,4,"['2024-11-06 02:25:22,880 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 02:25:22,881 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,881 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,881 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,882 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,882 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,882 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,882 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,883 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:22,883 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,403 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,404 - httpx - [_client.py:1786] - INFO', '2024-11-06 02:25:33,405 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,405 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,406 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,406 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,406 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 02:25:24,950 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:26,954 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:28,957 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:30,962 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:30,967 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 02:25:30,973 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-06 02:25:33,382 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 02:25:33,404 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,10.530988931655884
6,3646,a905d7507e1ea9c5,ab73934772a00367,llm_request,2024-11-06 02:25:22.948404,2024-11-06 02:25:33.382004,[],OK,,1730859922.948404,1730859933.382004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,10.433599948883057
7,3646,0aeae12e05a69ee1,a905d7507e1ea9c5,llm_scheduler,2024-11-06 10:25:31.024901,2024-11-06 10:25:39.101397,[],OK,,1730859931.024901,1730859939.1013973,15,1,1,1,1,0,1,4,1,1,5,1,0,0,0,0,2,"['2024-11-06 02:25:33,411 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 02:25:33,416 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:33,417 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-06 02:25:33,424 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:33,430 - llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO', '2024-11-06 02:25:33,487 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:33,491 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,492 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,492 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,492 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,493 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,493 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,493 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,496 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,497 - httpx - [_client.py:1786] - INFO', '2024-11-06 02:25:33,497 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,498 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,499 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,499 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,499 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,499 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,509 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:33,511 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-06 02:25:33,894 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:33,895 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-06 02:25:33,896 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-06 02:25:33,902 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 02:25:33,907 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,908 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,908 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,908 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:33,908 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:35,977 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:37,981 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO']",0.8,1005,8.076496362686157
8,3646,8bba9d42c14765ed,a905d7507e1ea9c5,llm_generate,2024-11-06 10:25:31.752476,2024-11-06 10:25:33.355271,[],OK,,1730859931.7524762,1730859933.3552709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.8,1005,1.6027946472167969
9,3647,4131ba61ad63f0a2,,query,2024-11-06 02:25:33.430877,2024-11-06 02:25:43.108695,[],OK,,1730859933.430877,1730859943.108695,5,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,2,"['2024-11-06 02:25:43,094 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:43,095 - httpx - [_client.py:1786] - INFO', '2024-11-06 02:25:43,095 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:43,096 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:43,096 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:43,097 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 02:25:43,097 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 02:25:43,102 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 02:25:43,107 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 02:25:43,108 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-06 02:25:39,986 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:41,990 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 02:25:41,995 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 02:25:42,002 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-06 02:25:43,074 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 02:25:43,095 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,9.677818059921265
10,3647,4692e5d99b994cd8,4131ba61ad63f0a2,retrieve,2024-11-06 02:25:33.431697,2024-11-06 02:25:33.503938,[],OK,,1730859933.431697,1730859933.503938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],13.2,1005,0.07224106788635254
