id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@httpcore.connection - [_trace.py:85] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.metrics - [metrics.py:295] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,3747,4a3107ad7570bb2c,,query,2024-11-06 03:17:27.339848,2024-11-06 03:17:31.874266,[],OK,,1730863047.339848,1730863051.874266,2,1,20,1,1,1,1,1,0,8,4,1,1,1,1,1,1,"['2024-11-06 03:17:27,399 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 03:17:27,403 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:27,406 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,407 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,407 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,408 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,408 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,408 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,408 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,411 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,412 - httpx - [_client.py:1786] - INFO', '2024-11-06 03:17:27,412 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,413 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,413 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,414 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,414 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,414 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,422 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:27,425 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-06 03:17:27,811 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:27,812 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-06 03:17:27,813 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-06 03:17:27,815 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 03:17:27,817 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,817 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,817 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,819 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,861 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,862 - httpx - [_client.py:1786] - INFO', '2024-11-06 03:17:31,862 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,863 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,863 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,863 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,864 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 03:17:31,872 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:31,874 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-06 03:17:27,890 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 03:17:27,892 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 03:17:28,639 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-06 03:17:31,840 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 03:17:31,861 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,4.5344178676605225
2,3747,2d69a09ce9dba9d8,4a3107ad7570bb2c,retrieve,2024-11-06 03:17:27.340917,2024-11-06 03:17:27.417538,[],OK,,1730863047.340917,1730863047.417538,1,0,10,0,0,0,0,1,0,4,1,0,0,0,0,0,0,"['2024-11-06 03:17:27,399 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-06 03:17:27,403 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:27,406 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,407 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,407 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,408 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,408 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,408 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,408 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,411 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,412 - httpx - [_client.py:1786] - INFO', '2024-11-06 03:17:27,412 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,413 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,413 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,414 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,414 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,414 - httpcore.connection - [_trace.py:85] - DEBUG']",12.0,1005,0.07662081718444824
3,3747,6fb6d92059efcac4,2d69a09ce9dba9d8,embedding,2024-11-06 03:17:27.341802,2024-11-06 03:17:27.396443,[],OK,,1730863047.341802,1730863047.396443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],12.0,1005,0.054641008377075195
4,3747,25f85040e8a7d067,4a3107ad7570bb2c,reranking,2024-11-06 03:17:27.434571,2024-11-06 03:17:27.807109,[],OK,,1730863047.434571,1730863047.807109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],12.0,1005,0.37253808975219727
5,3747,0243974750fd336a,4a3107ad7570bb2c,llm,2024-11-06 03:17:27.813625,2024-11-06 03:17:31.866413,[],OK,,1730863047.813625,1730863051.866413,1,0,10,1,1,0,0,0,0,4,0,0,1,1,1,1,1,"['2024-11-06 03:17:27,815 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 03:17:27,817 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,817 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,817 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,818 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:27,819 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,861 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,862 - httpx - [_client.py:1786] - INFO', '2024-11-06 03:17:31,862 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,863 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,863 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,863 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,864 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 03:17:27,890 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 03:17:27,892 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 03:17:28,639 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-06 03:17:31,840 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 03:17:31,861 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,4.052788019180298
6,3747,c8bf23fb9a431f7a,0243974750fd336a,llm_request,2024-11-06 03:17:27.890404,2024-11-06 03:17:31.839643,[],OK,,1730863047.890404,1730863051.839643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,3.9492390155792236
7,3747,b0c581b6710d2a4f,c8bf23fb9a431f7a,llm_scheduler,2024-11-06 11:17:27.912256,2024-11-06 11:17:27.934109,[],OK,,1730863047.9122565,1730863047.9341092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],66.5,1005,0.021852731704711914
8,3747,97414d31e4fe5cb8,c8bf23fb9a431f7a,llm_generate,2024-11-06 11:17:28.620507,2024-11-06 11:17:31.814265,[],OK,,1730863048.6205072,1730863051.8142655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],70.5,1005,3.193758249282837
9,3748,74ec5f85f475277d,,query,2024-11-06 03:17:31.885577,2024-11-06 03:17:33.506935,[],OK,,1730863051.885577,1730863053.506935,2,1,20,1,1,1,1,0,0,4,4,1,1,1,1,1,0,"['2024-11-06 03:17:31,939 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:31,941 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,942 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,945 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,945 - httpx - [_client.py:1786] - INFO', '2024-11-06 03:17:31,945 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,947 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,947 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,948 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,948 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,948 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,962 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:31,964 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-06 03:17:32,343 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:32,344 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-06 03:17:32,344 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-06 03:17:32,349 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-06 03:17:32,355 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:32,356 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:32,356 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:32,356 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:32,356 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:33,494 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:33,494 - httpx - [_client.py:1786] - INFO', '2024-11-06 03:17:33,495 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:33,495 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:33,496 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:33,496 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:33,497 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-06 03:17:33,505 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:33,506 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-06 03:17:32,436 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-06 03:17:32,439 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-06 03:17:33,473 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-06 03:17:33,494 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,1.6213579177856445
10,3748,f67304a0d14b5b62,74ec5f85f475277d,retrieve,2024-11-06 03:17:31.886438,2024-11-06 03:17:31.955893,[],OK,,1730863051.886438,1730863051.955893,1,0,10,0,0,0,0,0,0,4,1,0,0,0,0,0,0,"['2024-11-06 03:17:31,939 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-06 03:17:31,941 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,942 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,943 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,945 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,945 - httpx - [_client.py:1786] - INFO', '2024-11-06 03:17:31,945 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,947 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,947 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,948 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,948 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-06 03:17:31,948 - httpcore.connection - [_trace.py:85] - DEBUG']",38.0,1005,0.06945514678955078
