trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:243] - DEBUG,log@rag@opentelemetry.sdk.trace.export - [__init__.py:116] - ERROR,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
313,7.798156023025513,1.598680019378662,1.1981151103973389,4.3973469734191895,1.3834898471832275,1.1075429916381836,0.0267057418823242,0.3549010753631592,5.0,3367.0,3372.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,0,0,1,1,1,1,1,0.0,36210167808.0,134785609728.0,33.2,2443124892160.0,4051447944192.0,44826091.0,162764462.0,4.2,1808683008.0,47465394176.0,1.341896224418881,876154880.0,1187840.0,20096.0,1090.0,0.0,2299.1875,46068.0,1626.0,37.0,62.179,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,35.0,61.778,0.0,1005.0,20.6,5951246336.0,68675301376.0,4.415342519138157,3008274432.0,273260544.0,13150.0,1049591.0,0.0,41249.1875,46068.0,40568.0,37.0,63.978,0.0,1005.0,0,0,1.0,14,2,5916,0.7679070233333333,1909,0.9987507065137228
314,8.40451192855835,1.5022449493408203,1.0997848510742188,4.898888111114502,1.505173921585083,1.2099370956420898,0.0220537185668945,0.4360136985778808,6.0,3545.0,3551.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,1,1,4,1,1,0,0,1,1,1,1,1,0.0,36195368960.0,134785609728.0,33.150000000000006,2443124892160.0,4051450078208.0,44826091.0,162764613.5,3.7,1808945152.0,47465394176.0,1.3420907140239131,876154880.0,1284096.0,20106.0,1168.5,0.5,2299.1875,46068.0,1626.0,37.0,62.1925,0.5,1005.0,12.5,3617.1875,46068.0,2944.0,35.5,78.5465,12.5,1005.0,13.3,5951246336.0,68675301376.0,4.415342519138157,3008274432.0,275400704.0,13158.0,1057913.0,0.0,41249.1875,46068.0,40568.0,37.5,66.125,0.0,1005.0,0,0,0.658248290463863,8,3,6480,0.65477401,1937,0.7411788602670034
315,7.998528003692627,1.501702070236206,1.0990278720855713,4.5987708568573,1.3073108196258545,1.1105139255523682,0.0210621356964111,0.4366843700408935,6.0,3055.0,3061.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,0,0,1,1,1,1,1,0.0,36223643648.0,134785609728.0,33.2,2443124892160.0,4051451677696.0,44826091.0,162764818.0,3.5,1809207296.0,47465394176.0,1.3422852036289452,876154880.0,1474560.0,20123.5,1308.0,0.0,2299.1875,46068.0,1626.0,37.0,62.1795,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,35.5,62.117,0.0,1005.0,23.3,5951246336.0,68675301376.0,4.415342519138157,3008274432.0,278306816.0,13169.5,1069163.5,45.5,41249.1875,46068.0,40568.0,39.5,83.33850000000001,45.5,1005.0,0,0,1.0,5,3,6716,0.6868497466666668,1681,0.994702418645223
316,8.604212999343872,1.6007111072540283,1.197331190109253,4.193176031112671,2.3753480911254883,2.1824851036071777,0.0206949710845947,1.6147046089172363,21.0,2556.0,2577.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,0,0,1,1,1,1,1,0.0,36229312512.0,134785609728.0,33.2,2443124892160.0,4051452707840.0,44826091.0,162764971.0,4.8,1809731584.0,47465394176.0,1.3426741828390092,876154880.0,1564672.0,20133.0,1392.0,0.0,2299.1875,46068.0,1626.0,37.0,62.223,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,36.0,61.879,0.0,1005.0,4.0,5951246336.0,68675301376.0,4.415342519138157,3008274432.0,280154112.0,13175.0,1076417.0,0.0,41249.1875,46068.0,40568.0,38.0,64.116,0.0,1005.0,0,0,0.2659075191683887,8,13,5661,0.7937960666666667,1155,0.9988147219022115
317,9.298985004425049,1.4021821022033691,0.9991400241851808,5.094656944274902,2.308260917663574,1.9411180019378664,0.0271980762481689,1.2149577140808103,17.0,3316.0,3333.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,1,1,4,1,1,0,0,1,1,1,1,1,0.0,36223995904.0,134785609728.0,33.2,2443124892160.0,4051461315584.0,44826091.0,162765152.0,3.2,1808656384.0,47465328640.0,1.34187647156837,876154880.0,1640448.0,20142.0,1470.5,0.5,2299.1875,46068.0,1626.0,37.0,62.3525,0.5,1005.0,1.0,3617.1875,46068.0,2944.0,36.0,63.81,1.0,1005.0,24.3,5951246336.0,68675301376.0,4.415342519138157,3008274432.0,285806592.0,13198.0,1098597.0,0.0,41249.1875,46068.0,40568.0,38.0,65.76499999999999,0.0,1005.0,0,0,0.296116135138184,7,11,6289,0.7488526666666667,1867,0.9961487452189127
318,7.398072957992554,1.500607967376709,1.099020004272461,3.0992119312286377,2.29834508895874,1.9808528423309328,0.0221393108367919,1.2616515159606934,20.0,3296.0,3316.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,0,0,1,1,1,1,1,0.0,36589248512.0,134785609728.0,33.45,2443124892160.0,4051464330240.0,44826091.0,162765436.0,2.9000000000000004,1807843328.0,47465263104.0,1.3412732499027626,876154880.0,1826816.0,20158.5,1610.0,0.0,2299.1875,46068.0,1626.0,37.0,62.2795,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,36.0,61.998000000000005,0.0,1005.0,39.2,5951246336.0,68676349952.0,4.415342519138157,3008274432.0,292581376.0,13226.5,1125122.0,27.0,41249.1875,46068.0,40568.0,39.5,93.8235,27.0,1005.0,0,0,0.5469860812944991,8,14,5470,0.6474032799999999,1509,0.9971590638160706
319,7.504354953765869,0.8997268676757812,0.6991269588470459,3.5996899604797363,2.514350891113281,2.2251710891723637,0.0211091041564941,1.5891191959381104,23.0,2883.0,2906.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,0,0,1,1,1,1,1,0.0,40375967744.0,134785609728.0,36.3,2443124892160.0,4051467822080.0,44826091.0,162765744.0,4.4,1808105472.0,47465263104.0,1.3414677395077947,876154880.0,1908736.0,20169.0,1697.0,0.0,2299.1875,46068.0,1626.0,37.0,62.17,0.0,1005.0,48.0,3617.1875,46068.0,2944.0,38.0,103.024,48.0,1005.0,6.0,5951246336.0,68676349952.0,4.415342519138157,3008274432.0,296239104.0,13240.0,1139499.0,0.0,41249.1875,46068.0,40568.0,38.0,64.368,0.0,1005.0,0,0,0.2982773067218485,9,17,4912,0.6136939666666666,1430,0.2693173308313514
320,8.507907152175903,1.5003888607025146,1.099471092224121,4.199021100997925,2.4225239753723145,2.129802942276001,0.0229880809783935,1.3159542083740234,17.0,3684.0,3701.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,0,0,1,1,1,1,1,0.0,36309997568.0,134785609728.0,33.25,2443124892160.0,4051493026816.0,44826091.0,162766392.5,3.1,1808105472.0,47465263104.0,1.3414677395077947,876154880.0,2058240.0,20183.5,1810.0,0.0,2299.1875,46068.0,1626.0,37.0,62.258,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,36.0,63.7965,0.0,1005.0,34.3,5951246336.0,68676349952.0,4.415342519138157,3008274432.0,302727168.0,13268.5,1164851.5,50.0,41249.1875,46068.0,40568.0,40.5,106.4085,50.0,1005.0,0,0,0.3152352563430426,8,10,6023,0.7574834333333333,2074,0.9998785456021627
321,7.50498104095459,1.4005448818206787,1.098923921585083,3.900030851364136,1.8836581707000728,1.596879959106445,0.022289752960205,0.8920245170593262,12.0,3133.0,3145.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,0,0,1,1,1,1,1,0.0,36364517376.0,134785609728.0,33.3,2443124892160.0,4051494720512.0,44826091.0,162766588.0,4.0,1808629760.0,47465263104.0,1.341856718717859,876154880.0,2150400.0,20195.0,1894.0,0.0,2299.1875,46068.0,1626.0,37.0,62.179,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,36.0,61.943,0.0,1005.0,23.8,5951246336.0,68676349952.0,4.415342519138157,3008274432.0,307175424.0,13286.0,1182344.0,0.0,41249.1875,46068.0,40568.0,39.0,64.563,0.0,1005.0,0,0,0.0,7,7,5292,0.7531321766666667,1349,0.9970669945081075
322,10.398301124572754,1.4968581199645996,1.0971848964691162,4.49851393699646,3.9442410469055176,3.4507009983062744,0.0226736068725585,2.677528381347656,34.0,3504.0,3538.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,0,0,1,1,1,1,1,0.0,36365701120.0,134785609728.0,33.3,2443124892160.0,4051496074240.0,44826091.0,162766766.5,3.4,1808629760.0,47465263104.0,1.341856718717859,876154880.0,2242560.0,20205.0,1976.5,0.5,2299.1875,46068.0,1626.0,37.0,62.3645,0.5,1005.0,23.5,3617.1875,46068.0,2944.0,36.5,86.67,23.5,1005.0,18.2,5951246336.0,68676349952.0,4.415342519138157,3008274432.0,310865920.0,13300.0,1196781.0,0.0,41249.1875,46068.0,40568.0,38.5,70.2105,0.0,1005.0,0,0,0.1887143424353227,8,24,6825,0.7414601333333333,2019,0.9970691998799642
