trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
4862,1.5264768600463867,0.0720388889312744,0.048379898071289,0.3803691864013672,1.0455279350280762,0.947834014892578,0.0226397514343261,0.2005372047424316,3.0,3367.0,3370.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,0,1,0.0,47115177984.0,134785609728.0,41.3,2960131469824.0,4263918285824.0,50428093.0,167653775.0,36.6,1808297984.0,47464353792.0,1.3416105678114902,143360.0,491520.0,20029.0,541.0,0.0,2299.1875,46068.0,1626.0,35.0,62.94,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,34.0,104.773,0.0,1005.0,55.8,5966069760.0,68692013056.0,4.426340298522702,4616192.0,238723072.0,13056.0,911123.0,100.0,41249.1875,46068.0,40568.0,39.0,117.14,100.0,1005.0,0,0,1.0,14,2,5916,0.7679070233333333,1909,0.9987507065137228
4863,1.561354160308838,0.0765869617462158,0.0484149456024169,0.3777480125427246,1.0781610012054443,0.980597972869873,0.0228626728057861,0.2059254646301269,3.0,3545.0,3548.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,1,1,0.0,47115177984.0,134785609728.0,41.3,2960131469824.0,4263918285824.0,50428093.0,167653775.0,36.6,1808297984.0,47464353792.0,1.3416105678114902,143360.0,491520.0,20029.0,541.0,0.0,2299.1875,46068.0,1626.0,35.0,62.94,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,34.0,104.773,0.0,1005.0,55.8,5966069760.0,68692013056.0,4.426340298522702,4616192.0,238723072.0,13056.0,911123.0,100.0,41249.1875,46068.0,40568.0,39.0,117.14,100.0,1005.0,0,0,1.0,8,2,6480,0.65477401,1937,0.7411788602670034
4864,1.4366800785064695,0.0750019550323486,0.0485601425170898,0.3708341121673584,0.966783046722412,0.8710689544677734,0.0215425491333007,0.1979274749755859,3.0,3055.0,3058.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,0,1,0.0,47115177984.0,134785609728.0,41.3,2960131469824.0,4263918285824.0,50428093.0,167653775.0,36.6,1808297984.0,47464353792.0,1.3416105678114902,143360.0,491520.0,20029.0,541.0,0.0,2299.1875,46068.0,1626.0,35.0,62.94,0.0,1005.0,0.0,3617.1875,46068.0,2944.0,34.0,104.773,0.0,1005.0,55.8,5966069760.0,68692013056.0,4.426340298522702,4616192.0,238723072.0,13056.0,911123.0,100.0,41249.1875,46068.0,40568.0,39.0,117.14,100.0,1005.0,0,0,0.7415816237971964,5,2,6716,0.6868497466666668,1681,0.994702418645223
4865,1.3277740478515625,0.0722661018371582,0.0476260185241699,0.3773150444030761,0.851658821105957,0.7584879398345947,0.0207383632659912,0.1939446926116943,3.0,2556.0,2559.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,0,1,0.0,47025524736.0,134785609728.0,41.3,2960131469824.0,4263918842880.0,50428093.0,167653869.0,46.8,1812492288.0,47464353792.0,1.3447224014920027,143360.0,929792.0,20066.0,877.0,0.0,2299.1875,46068.0,1626.0,35.0,62.966,0.0,1005.0,57.0,3617.1875,46068.0,2944.0,38.0,94.722,57.0,1005.0,63.3,5966069760.0,68692013056.0,4.426340298522702,4616192.0,244154368.0,13076.0,931974.0,0.0,41249.1875,46068.0,40568.0,37.0,111.838,0.0,1005.0,0,0,0.0,8,3,5661,0.7937960666666667,1155,0.9988147219022115
4866,1.4838910102844238,0.0730879306793212,0.0470411777496337,0.3800671100616455,1.001729965209961,0.9144558906555176,0.0221369266510009,0.1968748569488525,3.0,3316.0,3319.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,0,1,0.0,47025524736.0,134785609728.0,41.3,2960131469824.0,4263918842880.0,50428093.0,167653869.0,46.8,1812492288.0,47464353792.0,1.3447224014920027,143360.0,929792.0,20066.0,877.0,0.0,2299.1875,46068.0,1626.0,35.0,62.966,0.0,1005.0,57.0,3617.1875,46068.0,2944.0,38.0,94.722,57.0,1005.0,63.3,5966069760.0,68692013056.0,4.426340298522702,4616192.0,244154368.0,13076.0,931974.0,0.0,41249.1875,46068.0,40568.0,37.0,111.838,0.0,1005.0,0,0,0.0,7,3,6289,0.7488526666666667,1867,0.9961487452189127
4867,1.4938998222351074,0.0732040405273437,0.047137975692749,0.3805339336395263,1.0119481086730957,0.9156200885772704,0.0222020149230957,0.1987252235412597,3.0,3296.0,3299.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,1,1,0.0,47025524736.0,134785609728.0,41.3,2960131469824.0,4263918842880.0,50428093.0,167653869.0,46.8,1812492288.0,47464353792.0,1.3447224014920027,143360.0,929792.0,20066.0,877.0,0.0,2299.1875,46068.0,1626.0,35.0,62.966,0.0,1005.0,57.0,3617.1875,46068.0,2944.0,38.0,94.722,57.0,1005.0,63.3,5966069760.0,68692013056.0,4.426340298522702,4616192.0,244154368.0,13076.0,931974.0,0.0,41249.1875,46068.0,40568.0,37.0,111.838,0.0,1005.0,0,0,0.8114357804719847,8,3,5470,0.6474032799999999,1509,0.9971590638160706
4868,1.365156888961792,0.0503029823303222,0.0328269004821777,0.3649280071258545,0.9295310974121094,0.8355100154876709,0.0214021205902099,0.1961703300476074,3.0,2883.0,2886.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,0,1,0.0,47025524736.0,134785609728.0,41.3,2960131469824.0,4263918842880.0,50428093.0,167653869.0,46.8,1812492288.0,47464353792.0,1.3447224014920027,143360.0,929792.0,20066.0,877.0,0.0,2299.1875,46068.0,1626.0,35.0,62.966,0.0,1005.0,57.0,3617.1875,46068.0,2944.0,38.0,94.722,57.0,1005.0,63.3,5966069760.0,68692013056.0,4.426340298522702,4616192.0,244154368.0,13076.0,931974.0,0.0,41249.1875,46068.0,40568.0,37.0,111.838,0.0,1005.0,0,0,0.0,9,3,4912,0.6136939666666666,1430,0.2693173308313514
4869,1.5906050205230713,0.0742890834808349,0.0473170280456543,0.3764030933380127,1.1129138469696045,1.015320062637329,0.0230367183685302,0.2008781433105468,3.0,3684.0,3687.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,0,1,0.0,47051800576.0,134785609728.0,41.3,2960131469824.0,4263924204544.0,50428093.0,167653987.0,42.6,1813016576.0,47465402368.0,1.3451113807020667,143360.0,1384448.0,20106.0,1233.0,3.0,2299.1875,46068.0,1626.0,35.0,63.131,3.0,1005.0,0.0,3617.1875,46068.0,2944.0,37.0,77.164,0.0,1005.0,68.1,5966069760.0,68692013056.0,4.426340298522702,4616192.0,250097664.0,13100.0,954729.0,16.0,41249.1875,46068.0,40568.0,38.0,127.516,16.0,1005.0,0,0,0.0,8,2,6023,0.7574834333333333,2074,0.9998785456021627
4870,1.4775900840759275,0.0751998424530029,0.0472428798675537,0.3806469440460205,0.9946551322937012,0.9008278846740724,0.0220358371734619,0.1999688148498535,3.0,3133.0,3136.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,1,1,0.0,47051800576.0,134785609728.0,41.3,2960131469824.0,4263924204544.0,50428093.0,167653987.0,42.6,1813016576.0,47465402368.0,1.3451113807020667,143360.0,1384448.0,20106.0,1233.0,3.0,2299.1875,46068.0,1626.0,35.0,63.131,3.0,1005.0,0.0,3617.1875,46068.0,2944.0,37.0,77.164,0.0,1005.0,68.1,5966069760.0,68692013056.0,4.426340298522702,4616192.0,250097664.0,13100.0,954729.0,16.0,41249.1875,46068.0,40568.0,38.0,127.516,16.0,1005.0,0,0,0.0,7,2,5292,0.7531321766666667,1349,0.9970669945081075
4871,1.5680279731750488,0.0761950016021728,0.0474429130554199,0.3877339363098144,1.070039987564087,0.9714739322662354,0.023050308227539,0.2001810073852539,3.0,3504.0,3507.0,10.0,2,1024,2,3.0,8.0,1.0,3.0,1.0,0.2,1.0,1,1,2,0,1,1,1,4,0,1,20,4,1,1,1,0,1,0.0,47051800576.0,134785609728.0,41.3,2960131469824.0,4263924204544.0,50428093.0,167653987.0,42.6,1813016576.0,47465402368.0,1.3451113807020667,143360.0,1384448.0,20106.0,1233.0,3.0,2299.1875,46068.0,1626.0,35.0,63.131,3.0,1005.0,0.0,3617.1875,46068.0,2944.0,37.0,77.164,0.0,1005.0,68.1,5966069760.0,68692013056.0,4.426340298522702,4616192.0,250097664.0,13100.0,954729.0,16.0,41249.1875,46068.0,40568.0,38.0,127.516,16.0,1005.0,0,0,0.0,8,3,6825,0.7414601333333333,2019,0.9970691998799642
