trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
5689,7.768781185150146,0.0818789005279541,0.0506188869476318,0.2959730625152588,1.0079400539398191,0.900580883026123,0.021125316619873,0.3542735576629638,6.0,3545.0,3551.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,1,1,1,1,0.0,11523317760.0,134785622016.0,12.6,76014670848.0,13020339200.0,715993.0,271123.0,4.3,1806053376.0,47465275392.0,1.3399451284096229,0.0,1996800.0,20160.5,1729.5,0.5,2299.1875,46068.0,1626.0,41.0,79.754,0.5,1005,0.0,3617.1875,46068.0,2944.0,40.5,83.888,0.0,1005,8.1,5956288512.0,68447141888.0,4.419083002260395,1048576.0,367810560.0,13536.0,1420977.5,0.0,41045.1875,46068.0,40364.0,42.5,81.53899999999999,0.0,1005,0,0,0.658248290463863,8,3,6480,0.65477401,1937,0.7411788602670034
5691,8.460829019546509,0.0791709423065185,0.0490658283233642,0.2910170555114746,2.0469210147857666,1.9511618614196775,0.0197460651397705,1.5455811023712158,21.0,2556.0,2577.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,1,1,1,1,0.0,11501506560.0,134785622016.0,12.55,76014670848.0,13037906944.0,715993.0,271469.0,5.6000000000000005,1807101952.0,47465275392.0,1.340723086758827,0.0,2263040.0,20187.0,1952.0,0.0,2299.1875,46068.0,1626.0,41.0,79.38,0.0,1005,34.5,3617.1875,46068.0,2944.0,42.0,96.711,34.5,1005,20.5,5956288512.0,68447141888.0,4.419083002260395,1048576.0,376662016.0,13571.0,1455621.5,0.0,41045.1875,46068.0,40364.0,43.0,81.779,0.0,1005,0,0,0.2659075191683887,8,13,5661,0.7937960666666667,1155,0.9988147219022117
5692,9.14831805229187,0.0783860683441162,0.0500988960266113,0.2919929027557373,2.726400136947632,2.62993597984314,0.0219457149505615,2.116731882095337,28.0,3316.0,3344.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,1,1,1,1,0.0,11560556544.0,134785622016.0,12.6,76014670848.0,13053326336.0,715993.0,271730.0,5.9,1807101952.0,47465275392.0,1.340723086758827,0.0,2394112.0,20199.0,2057.0,0.0,2299.1875,46068.0,1626.0,41.0,78.8315,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.265,0.0,1005,27.700000000000003,5956288512.0,68447141888.0,4.419083002260395,1048576.0,385800192.0,13609.0,1491459.5,20.0,41045.1875,46068.0,40364.0,45.0,109.1525,20.0,1005,0,0,0.1942306046118628,7,21,6289,0.7488526666666667,1867,0.9961487452189128
5693,8.430176019668579,0.0642511844635009,0.039802074432373,0.2857460975646972,2.0486040115356445,1.9512948989868164,0.0219323635101318,1.438817262649536,20.0,3296.0,3316.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,1,1,1,1,0.0,11516338176.0,134785622016.0,12.6,76014670848.0,13063119872.0,715993.0,271927.0,10.2,1807101952.0,47465275392.0,1.340723086758827,0.0,2514944.0,20213.0,2167.0,0.0,2299.1875,46068.0,1626.0,41.0,78.499,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.636,0.0,1005,42.6,5956288512.0,68447141888.0,4.419083002260395,1048576.0,392212480.0,13634.0,1516568.0,0.0,41045.1875,46068.0,40364.0,44.0,82.611,0.0,1005,0,0,0.5469860812944991,8,14,5470,0.6474032799999999,1509,0.9971590638160706
5694,9.09341597557068,0.0768179893493652,0.0505008697509765,0.289557933807373,2.687685012817383,2.598552942276001,0.0201334953308105,2.158342838287353,30.0,2883.0,2913.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,2,1,1,1,0.0,11391047680.0,134785622016.0,12.5,76014670848.0,13074291712.0,715993.0,272089.5,5.4,1807101952.0,47465275392.0,1.340723086758827,0.0,2621440.0,20224.0,2264.0,0.0,2299.1875,46068.0,1626.0,41.0,79.934,0.0,1005,0.0,3617.1875,46068.0,2944.0,40.0,98.941,0.0,1005,23.5,5956288512.0,68447141888.0,4.419083002260395,1048576.0,396410880.0,13651.0,1533015.5,41.0,41045.1875,46068.0,40364.0,47.0,103.1715,41.0,1005,0,0,0.2528190546508173,9,22,4912,0.6136939666666666,1430,0.2693173308313514
5696,8.587559938430786,0.0801339149475097,0.050027847290039,0.296854019165039,2.1709649562835693,2.07492995262146,0.021573781967163,1.578878402709961,22.0,3133.0,3155.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,2,1,1,1,0.0,11282632704.0,134785622016.0,12.4,76014670848.0,13095277568.0,715993.0,272480.0,12.0,1807101952.0,47465275392.0,1.340723086758827,0.0,2867200.0,20249.0,2479.0,0.0,2299.1875,46068.0,1626.0,41.0,78.742,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.282,0.0,1005,45.0,5956812800.0,68447141888.0,4.419471981434996,1048576.0,410820608.0,13709.0,1589529.0,0.0,41045.1875,46068.0,40364.0,44.0,82.744,0.0,1005,0,0,0.2755527166605029,7,15,5292,0.7531321766666667,1349,0.9970669945081077
5697,9.441004037857056,0.0806591510772705,0.05035400390625,0.2938230037689209,3.031057119369507,2.9342169761657715,0.0223309993743896,2.3884785175323486,34.0,3504.0,3538.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,0,1,1,1,0.0,11328008192.0,134785622016.0,12.45,76014670848.0,13105548288.0,715993.0,272673.0,5.8,1807101952.0,47465275392.0,1.340723086758827,0.0,3000320.0,20261.0,2576.0,0.0,2299.1875,46068.0,1626.0,41.0,78.9165,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.5,87.3175,0.0,1005,30.700000000000003,5956812800.0,68447141888.0,4.419471981434996,1048576.0,416219136.0,13731.5,1610679.5,22.0,41045.1875,46068.0,40364.0,46.5,142.404,22.0,1005,0,0,0.1916383190435099,8,24,6825,0.7414601333333333,2019,0.9970691998799642
5698,7.409914016723633,0.0799801349639892,0.0506529808044433,0.2949550151824951,1.0011711120605469,0.9066791534423828,0.0218815803527832,0.4125597476959228,6.0,3088.0,3094.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,1,1,1,1,0.0,11319193600.0,134785622016.0,12.5,76014670848.0,13121483776.0,715993.0,272895.0,11.8,1807101952.0,47465275392.0,1.340723086758827,0.0,3112960.0,20275.0,2687.0,0.0,2299.1875,46068.0,1626.0,41.0,78.812,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.37,0.0,1005,21.2,5956812800.0,68447141888.0,4.419471981434996,1048576.0,421842944.0,13753.0,1632719.0,0.0,41045.1875,46068.0,40364.0,45.0,83.138,0.0,1005,0,0,1.0,14,3,5547,0.76441243,1495,0.6685655871406198
5699,7.711461067199707,0.0797300338745117,0.0495681762695312,0.2929611206054687,1.3044118881225586,1.2072341442108154,0.022794485092163,0.6354899406433105,9.0,3671.0,3680.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,1,1,1,1,0.0,11320164352.0,134785622016.0,12.45,76014670848.0,13126632448.0,715993.0,273072.5,5.199999999999999,1807101952.0,47465275392.0,1.340723086758827,0.0,3201024.0,20284.5,2770.5,0.0,2299.1875,46068.0,1626.0,41.0,79.57849999999999,0.0,1005,37.5,3617.1875,46068.0,2944.0,42.5,90.06899999999999,37.5,1005,9.8,5956812800.0,68447141888.0,4.419471981434996,1048576.0,423446528.0,13758.5,1638994.0,0.0,41045.1875,46068.0,40364.0,44.0,82.939,0.0,1005,0,0,0.7415816237971964,11,3,5018,0.6210781833333333,1927,0.4954645981391271
5700,8.261003971099854,0.0788040161132812,0.0499129295349121,0.296544075012207,1.8415470123291016,1.7448678016662598,0.0216896533966064,1.2344653606414795,17.0,3294.0,3311.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,3,8,1,0,1,4,1,1,1,1,1,1,1,0.0,11279302656.0,134785622016.0,12.4,76014670848.0,13131531264.0,715993.0,273196.0,11.6,1807101952.0,47465275392.0,1.340723086758827,0.0,3346432.0,20300.0,2895.0,0.0,2299.1875,46068.0,1626.0,41.0,78.635,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.432,0.0,1005,38.4,5956812800.0,68447141888.0,4.419471981434996,1048576.0,429682688.0,13783.0,1663325.0,0.0,41045.1875,46068.0,40364.0,45.0,85.152,0.0,1005,0,0,0.3236067977499789,14,10,5542,0.6745795166666667,1734,0.6684332991329333
