trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@httpx - [_client.py:1786] - INFO,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
5794,10.257817029953005,0.0763800144195556,0.0511000156402587,0.2937018871307373,1.8525810241699217,1.75673508644104,0.0219347476959228,1.2411761283874512,17.0,3316.0,3333.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,2,1,0.0,12271945728.0,134785622016.0,13.15,76122616832.0,14451309568.0,719371.0,302187.0,3.4000000000000004,1811091456.0,47464353792.0,1.3436829751655637,0.0,1224704.0,20096.5,1212.5,0.0,2299.1875,46068.0,1626.0,41.0,79.8075,0.0,1005,0.0,3617.1875,46068.0,2944.0,38.5,77.311,0.0,1005,20.0,5957890048.0,68846637056.0,4.420271212082811,0.0,280205312.0,13170.5,1075173.0,0.0,41397.1875,46068.0,40716.0,42.5,81.8095,0.0,1005,0,0,0.296116135138184,7,11,6289,0.7488526666666667,1867,0.9961487452189128
5795,10.210876226425173,0.0777630805969238,0.0493519306182861,0.2885079383850097,1.8097240924835205,1.716933012008667,0.0224287509918212,1.2123074531555176,20.0,3296.0,3316.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12190810112.0,134785622016.0,13.1,76122616832.0,14463319040.0,719371.0,302449.0,5.5,1811091456.0,47464353792.0,1.3436829751655637,0.0,1374208.0,20111.0,1334.0,0.0,2299.1875,46068.0,1626.0,41.0,79.3325,0.0,1005,44.5,3617.1875,46068.0,2944.0,41.0,96.5945,44.5,1005,18.4,5957890048.0,68847161344.0,4.420271212082811,0.0,285523968.0,13192.0,1096017.5,0.0,41397.1875,46068.0,40716.0,43.0,81.77600000000001,0.0,1005,0,0,0.5469860812944991,8,14,5470,0.6474032799999999,1509,0.9971590638160706
5798,10.639904975891112,0.0788629055023193,0.0489161014556884,0.2913789749145508,2.228080034255981,2.126657009124756,0.0202975273132324,1.6286187171936035,22.0,3133.0,3155.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12139583488.0,134785622016.0,13.1,76122616832.0,14505919488.0,719371.0,303176.5,5.4,1809154048.0,47465271296.0,1.3422455755594174,0.0,1736704.0,20148.0,1652.0,0.0,2299.1875,46068.0,1626.0,41.0,79.429,0.0,1005,48.0,3617.1875,46068.0,2944.0,40.5,92.6555,48.0,1005,22.8,5957890048.0,68847161344.0,4.420271212082811,0.0,304160768.0,13266.0,1168991.0,0.0,41397.1875,46068.0,40716.0,43.5,82.2245,0.0,1005,0,0,0.2755527166605029,7,15,5292,0.7531321766666667,1349,0.9970669945081077
5799,10.093646049499512,0.088771104812622,0.0528700351715087,0.2938759326934814,1.6647260189056396,1.5651719570159912,0.0217442512512207,1.0228586196899414,14.0,3504.0,3518.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12205852672.0,134785622016.0,13.1,76122616832.0,14517459968.0,719371.0,303401.0,5.9,1809154048.0,47465271296.0,1.3422455755594174,0.0,1869824.0,20161.0,1758.0,0.0,2299.1875,46068.0,1626.0,41.0,79.77250000000001,0.0,1005,30.0,3617.1875,46068.0,2944.0,41.0,103.1695,30.0,1005,17.1,5957890048.0,68847161344.0,4.420271212082811,0.0,309147648.0,13286.0,1188613.0,0.0,41397.1875,46068.0,40716.0,43.5,82.398,0.0,1005,0,0,0.3749999999999999,8,9,6825,0.7414601333333333,2019,0.9970691998799642
5801,9.719314098358154,0.077327013015747,0.0479180812835693,0.2887489795684814,1.3174259662628174,1.218705177307129,0.0218493938446044,0.6471998691558838,9.0,3671.0,3680.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12151580672.0,134785622016.0,13.1,76122616832.0,14536606720.0,719371.0,303846.5,5.5,1810202624.0,47465271296.0,1.3430235339086214,0.0,2103296.0,20187.0,1979.0,0.0,2299.1875,46068.0,1626.0,41.0,78.70949999999999,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,87.812,0.0,1005,14.5,5957890048.0,68847161344.0,4.420271212082811,0.0,316565504.0,13312.0,1217491.0,0.0,41397.1875,46068.0,40716.0,44.5,99.2905,0.0,1005,0,0,0.7415816237971964,11,3,5018,0.6210781833333333,1927,0.4954645981391271
5803,9.407792091369627,0.078258991241455,0.049232006072998,0.2978219985961914,0.9926059246063232,0.8897459506988525,0.0225405693054199,0.2720212936401367,4.0,3923.0,3927.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12133376000.0,134785622016.0,13.1,76122616832.0,14556945408.0,719371.0,304286.0,6.1,1810726912.0,47465271296.0,1.3434125130832233,0.0,2369536.0,20213.0,2193.0,0.0,2299.1875,46068.0,1626.0,41.0,78.88900000000001,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.794,0.0,1005,11.0,5957890048.0,69082042368.0,4.420271212082811,0.0,323459072.0,13337.0,1244378.0,0.0,41613.1875,46068.0,40932.0,44.0,82.8005,0.0,1005,0,0,1.0,10,2,6405,0.7918241466666668,2352,0.9968658487002054
5804,10.371859073638916,0.0785129070281982,0.0486550331115722,0.301487922668457,1.943420886993408,1.844533920288086,0.0226304531097412,1.2484970092773438,17.0,3780.0,3797.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12170422272.0,134785622016.0,13.1,76122616832.0,14567177216.0,719371.0,304517.5,6.2,1811251200.0,47465271296.0,1.3438014922578254,0.0,2512896.0,20226.0,2299.0,0.0,2299.1875,46068.0,1626.0,41.0,78.74199999999999,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.833,0.0,1005,20.8,5957890048.0,69082042368.0,4.420271212082811,0.0,328409088.0,13356.0,1263744.0,0.0,41613.1875,46068.0,40932.0,44.0,82.8175,0.0,1005,0,0,0.199893122852962,9,11,6666,0.8015229,2318,0.988229195276896
5806,11.52885389328003,0.073603868484497,0.0478830337524414,0.280803918838501,3.136344194412231,3.035111904144287,0.0232057571411132,2.431886672973633,32.0,3799.0,3831.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12135110656.0,134785622016.0,13.1,76122616832.0,14592148480.0,719371.0,304983.0,4.1,1811251200.0,47465271296.0,1.3438014922578254,0.0,2770944.0,20251.0,2510.0,0.0,2299.1875,46068.0,1626.0,41.0,78.96199999999999,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,78.1825,0.0,1005,33.15,5957890048.0,69082042368.0,4.420271212082811,0.0,342034432.0,13411.0,1317189.0,0.0,41613.1875,46068.0,40932.0,44.5,83.0185,0.0,1005,0,0,0.2720242457673751,8,19,6023,0.7279212333333334,1978,0.9883052905400594
5807,10.329657077789308,0.0784718990325927,0.0495650768280029,0.29121994972229,1.9171829223632808,1.82053017616272,0.0236728191375732,1.40470552444458,19.0,2601.0,2620.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12127877120.0,134785622016.0,13.05,76122616832.0,14605566976.0,719371.0,305253.0,5.3,1811251200.0,47465271296.0,1.3438014922578254,0.0,2877440.0,20264.0,2616.0,0.0,2299.1875,46068.0,1626.0,41.0,79.03450000000001,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.922,0.0,1005,20.5,5957890048.0,69082042368.0,4.420271212082811,0.0,347316224.0,13432.0,1337923.0,0.0,41613.1875,46068.0,40932.0,44.5,83.119,0.0,1005,0,0,0.2936852969461664,4,11,5378,0.7668671433333333,1148,0.9943227370580038
5808,10.61150288581848,0.0777390003204345,0.0484979152679443,0.2912280559539795,2.2074689865112305,2.1080069541931152,0.0218286514282226,1.5553245544433594,21.0,3511.0,3532.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,1,4,0,2,1,4,20,1,1,8,0,1,1,1,1,1,0.0,12110467072.0,134785622016.0,13.0,76122616832.0,14617439232.0,719371.0,305462.5,5.1,1811775488.0,47465271296.0,1.3441904714324275,0.0,3000320.0,20277.0,2722.0,0.0,2299.1875,46068.0,1626.0,41.0,78.733,0.0,1005,0.0,3617.1875,46068.0,2944.0,39.0,77.9565,0.0,1005,23.6,5957890048.0,69082042368.0,4.420271212082811,0.0,353118208.0,13455.0,1360659.0,0.0,41613.1875,46068.0,40932.0,44.5,83.023,0.0,1005,0,0,0.433927908579091,8,9,5578,0.6264936533333333,1803,0.3337752530351281
