trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
5270,9.327445030212402,0.085576057434082,0.055894136428833,0.2916340827941894,0.909782886505127,0.8125309944152832,0.0215077400207519,0.2827036380767822,5.0,3367.0,3372.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11491837952.0,134785622016.0,12.55,76010451968.0,8212239360.0,715943.0,169111.0,5.5,1813458944.0,47464345600.0,1.3454394592508758,0.0,1126400.0,20081.0,1142.0,0.0,2299.1875,46068.0,1626.0,39.0,78.034,0.0,1740.0,50.0,3617.1875,46068.0,2944.0,39.0,95.854,50.0,1620.0,5.1000000000000005,5979910144.0,68707737600.0,4.436608337416096,1048576.0,273598464.0,13177.5,1048270.5,0.0,41249.1875,46068.0,40568.0,42.0,81.277,0.0,1740.0,0,0,1.0,14,2,5916,0.7679070233333333,1909,0.9987507065137228
5271,9.483736038208008,0.0764031410217285,0.0489349365234375,0.2945101261138916,1.065830945968628,0.9629678726196288,0.0200541019439697,0.4195032119750976,6.0,3545.0,3551.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11544905728.0,134785622016.0,12.65,76010451968.0,8218547200.0,715943.0,169289.0,5.9,1813458944.0,47464345600.0,1.3454394592508758,0.0,1257472.0,20095.0,1259.0,0.0,2299.1875,46068.0,1626.0,39.0,78.8375,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,37.0,86.496,0.0,1740.0,11.7,5980434432.0,68707737600.0,4.436997316590697,1048576.0,276926464.0,13188.0,1061161.0,0.0,41249.1875,46068.0,40568.0,43.0,124.2875,0.0,1740.0,0,0,0.658248290463863,8,3,6480,0.65477401,1937,0.7411788602670034
5272,9.607810974121094,0.079460859298706,0.0502960681915283,0.3037610054016113,0.9988079071044922,0.9033360481262208,0.0214734077453613,0.4233629703521728,6.0,3055.0,3061.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11500836864.0,134785622016.0,12.6,76010451968.0,8224177152.0,715943.0,169441.0,6.6,1813458944.0,47464345600.0,1.3454394592508758,0.0,1384448.0,20108.0,1368.0,0.0,2299.1875,46068.0,1626.0,39.0,77.888,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,37.0,76.4135,0.0,1740.0,11.1,5980434432.0,68707737600.0,4.436997316590697,1048576.0,279310336.0,13196.0,1070480.0,0.0,41249.1875,46068.0,40568.0,42.5,81.7925,0.0,1740.0,0,0,1.0,5,3,6716,0.6868497466666668,1681,0.994702418645223
5273,10.467281103134155,0.0802700519561767,0.0516231060028076,0.2848827838897705,2.069467067718506,1.979375123977661,0.0211656093597412,1.572399377822876,21.0,2556.0,2577.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11511914496.0,134785622016.0,12.6,76010451968.0,8237018112.0,715943.0,169694.0,5.6,1813458944.0,47464345600.0,1.3454394592508758,0.0,1490944.0,20121.0,1476.0,0.0,2299.1875,46068.0,1626.0,39.0,78.09700000000001,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,38.0,76.378,0.0,1740.0,22.1,5980434432.0,68707737600.0,4.436997316590697,1048576.0,285036544.0,13219.0,1092972.0,0.0,41249.1875,46068.0,40568.0,43.0,81.8545,0.0,1740.0,0,0,0.2659075191683887,8,13,5661,0.7937960666666667,1155,0.9988147219022115
5275,10.512346029281616,0.0766410827636718,0.0493059158325195,0.2853548526763916,2.1076149940490723,2.0101640224456787,0.0216610431671142,1.49827241897583,20.0,3296.0,3316.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11525289984.0,134785622016.0,12.6,76010451968.0,8257098752.0,715943.0,170097.5,5.5,1810268160.0,47465263104.0,1.3430721563054466,0.0,1736704.0,20145.0,1692.0,0.0,2299.1875,46068.0,1626.0,39.5,78.2805,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,38.0,76.675,0.0,1740.0,22.7,5980434432.0,68707737600.0,4.436997316590697,1048576.0,295469056.0,13260.0,1133895.0,0.0,41249.1875,46068.0,40568.0,43.5,82.1555,0.0,1740.0,0,0,0.5469860812944991,8,14,5470,0.6474032799999999,1509,0.9971590638160706
5277,10.280100107192991,0.080665111541748,0.051203966140747,0.2887201309204101,1.8743791580200195,1.7704949378967283,0.020780324935913,1.1985316276550293,17.0,3684.0,3701.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11449294848.0,134785622016.0,12.55,76010451968.0,8276937728.0,715943.0,170429.0,5.5,1811316736.0,47465263104.0,1.3438501146546509,0.0,1972224.0,20169.0,1908.0,0.0,2299.1875,46068.0,1626.0,40.0,78.292,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,38.0,76.682,0.0,1740.0,20.1,5980434432.0,68707737600.0,4.436997316590697,1048576.0,308174848.0,13311.0,1183800.0,0.0,41249.1875,46068.0,40568.0,43.5,82.3295,0.0,1740.0,0,0,0.3152352563430426,8,10,6023,0.7574834333333333,2074,0.9998785456021627
5278,10.579778909683228,0.0367109775543212,0.0145778656005859,0.2820789813995361,2.2282378673553467,2.127991199493408,0.0208561420440673,1.627922296524048,22.0,3133.0,3155.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11586713600.0,134785622016.0,12.65,76010451968.0,8292011008.0,715943.0,170670.5,4.6,1811841024.0,47465263104.0,1.3442390938292526,0.0,2082816.0,20182.0,2016.0,0.0,2299.1875,46068.0,1626.0,40.0,78.57849999999999,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,38.0,76.881,0.0,1740.0,23.8,5980434432.0,68707737600.0,4.436997316590697,1048576.0,314165248.0,13335.0,1207317.0,0.0,41249.1875,46068.0,40568.0,43.5,82.7085,0.0,1740.0,0,0,0.2755527166605029,7,15,5292,0.7531321766666667,1349,0.9970669945081075
5279,11.601376056671144,0.0811939239501953,0.0485298633575439,0.2924730777740478,3.18576979637146,3.0835468769073486,0.0207819938659667,2.536585807800293,34.0,3504.0,3538.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11549468672.0,134785622016.0,12.6,76010451968.0,8306834432.0,715943.0,170905.5,5.8,1812365312.0,47465263104.0,1.344628073003855,0.0,2215936.0,20195.0,2123.0,0.0,2299.1875,46068.0,1626.0,40.0,78.5255,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,38.0,76.9845,0.0,1740.0,33.75,5980434432.0,68707737600.0,4.436997316590697,1048576.0,322887680.0,13371.0,1241576.0,0.0,41249.1875,46068.0,40568.0,44.5,100.3815,0.0,1740.0,0,0,0.1887143424353227,8,24,6825,0.7414601333333333,2019,0.9970691998799642
5280,9.420921087265016,0.0783181190490722,0.050318956375122,0.290989875793457,1.0160291194915771,0.9161429405212402,0.0203895568847656,0.4180536270141601,6.0,3088.0,3094.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11570395136.0,134785622016.0,12.65,76010451968.0,8313551872.0,715943.0,171110.0,5.6,1812365312.0,47465263104.0,1.344628073003855,0.0,2326528.0,20207.0,2232.0,0.0,2299.1875,46068.0,1626.0,40.0,78.5705,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,38.5,77.209,0.0,1740.0,11.4,5980434432.0,68707737600.0,4.436997316590697,1048576.0,325271552.0,13379.0,1250899.0,0.0,41249.1875,46068.0,40568.0,44.0,82.669,0.0,1740.0,0,0,1.0,14,3,5547,0.76441243,1495,0.6685655871406198
5281,9.885027885437012,0.0825910568237304,0.053818941116333,0.2929229736328125,1.303389072418213,1.203770875930786,0.0220754146575927,0.6271586418151855,9.0,3671.0,3680.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,2,0,1,8,1,0,1,4,1,1,4,1,1,1,1,1,0.0,11596130304.0,134785622016.0,12.65,76010451968.0,8326114304.0,715943.0,171284.0,5.6,1812365312.0,47465263104.0,1.344628073003855,0.0,2445312.0,20219.0,2341.0,0.0,2299.1875,46068.0,1626.0,40.0,78.402,0.0,1740.0,0.0,3617.1875,46068.0,2944.0,39.0,76.90700000000001,0.0,1740.0,14.3,5980434432.0,68707737600.0,4.436997316590697,1048576.0,328376320.0,13390.0,1263029.0,0.0,41249.1875,46068.0,40568.0,44.0,82.874,0.0,1740.0,0,0,0.7415816237971964,11,3,5018,0.6210781833333333,1927,0.4954645981391271
