id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@httpx - [_client.py:1786] - INFO,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.metrics - [metrics.py:295] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,163,6bdf142f52b011cc,,query,2024-10-30 13:35:49.629876,2024-10-30 13:35:54.648619,[],OK,,1730295349.629876,1730295354.648619,2,4,1,0,1,1,1,1,1,1,8,20,1,1,1,1,1,"['2024-10-30 13:35:50,135 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-30 13:35:50,139 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:50,232 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,234 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,234 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,235 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,235 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,235 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,236 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,239 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,240 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:35:50,240 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,242 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,242 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,242 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,243 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,243 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:51,345 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:51,432 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-30 13:35:53,543 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:53,632 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-30 13:35:53,632 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-30 13:35:53,637 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 13:35:53,639 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,639 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,639 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,640 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,636 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,637 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:35:54,637 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,638 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,638 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,638 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,639 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 13:35:54,647 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:54,648 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-30 13:35:53,702 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 13:35:53,704 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 13:35:54,238 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-30 13:35:54,607 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 13:35:54,637 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,5.01874303817749
2,163,7abb6b441c90fb44,6bdf142f52b011cc,retrieve,2024-10-30 13:35:49.630687,2024-10-30 13:35:51.337174,[],OK,,1730295349.630687,1730295351.337174,1,1,0,0,1,0,0,0,0,0,4,10,0,0,0,0,0,"['2024-10-30 13:35:50,135 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-30 13:35:50,139 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:50,232 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,234 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,234 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,235 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,235 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,235 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,236 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,239 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,240 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:35:50,240 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,242 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,242 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,242 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,243 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:50,243 - httpcore.connection - [_trace.py:85] - DEBUG']",5.0,1005,1.7064869403839111
3,163,fe107e417555c799,7abb6b441c90fb44,embedding,2024-10-30 13:35:49.631450,2024-10-30 13:35:50.041432,[],OK,,1730295349.63145,1730295350.041432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],5.0,1005,0.40998196601867676
4,163,fc68263810d4caa8,6bdf142f52b011cc,reranking,2024-10-30 13:35:51.435873,2024-10-30 13:35:53.534086,[],OK,,1730295351.435873,1730295353.534086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],5.0,1005,2.098212957382202
5,163,c1867e6622d78837,6bdf142f52b011cc,llm,2024-10-30 13:35:53.633415,2024-10-30 13:35:54.641037,[],OK,,1730295353.633415,1730295354.641037,1,0,0,0,0,0,0,0,1,1,4,10,1,1,1,1,1,"['2024-10-30 13:35:53,637 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 13:35:53,639 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,639 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,639 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,640 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,641 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:53,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,636 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,637 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:35:54,637 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,638 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,638 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,638 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:54,639 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 13:35:53,702 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 13:35:53,704 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 13:35:54,238 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-30 13:35:54,607 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 13:35:54,637 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,1.0076220035552979
6,163,bb4e01c54980588c,c1867e6622d78837,llm_request,2024-10-30 13:35:53.702134,2024-10-30 13:35:54.606160,[],OK,,1730295353.702134,1730295354.60616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,0.9040260314941406
7,163,b613ef2c9e143fe7,bb4e01c54980588c,llm_scheduler,2024-10-30 21:35:53.722594,2024-10-30 21:35:53.743054,[],OK,,1730295353.722594,1730295353.743054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],2.8,1005,0.020459890365600586
8,163,6c0468f22aab812e,bb4e01c54980588c,llm_generate,2024-10-30 21:35:54.220498,2024-10-30 21:35:54.575711,[],OK,,1730295354.220498,1730295354.5757103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],27.4,1005,0.3552122116088867
9,164,745c996f76fc3271,,query,2024-10-30 13:35:54.742966,2024-10-30 13:36:00.609367,[],OK,,1730295354.742966,1730295360.609367,2,4,1,0,0,1,1,1,1,1,4,20,1,1,1,1,1,"['2024-10-30 13:35:55,339 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:55,432 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,436 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,436 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:35:55,436 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,437 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,437 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,437 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,438 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,438 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:56,444 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:56,448 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-30 13:35:58,232 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:58,233 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-30 13:35:58,233 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-30 13:35:58,240 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 13:35:58,332 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:58,333 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:58,333 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:58,333 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:58,333 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:36:00,597 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:36:00,598 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:36:00,598 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:36:00,599 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:36:00,599 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:36:00,600 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:36:00,600 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 13:36:00,608 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:36:00,609 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-30 13:35:58,392 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 13:35:58,395 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 13:35:59,255 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-30 13:36:00,575 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 13:36:00,598 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,5.866400957107544
10,164,de26d0444700353d,745c996f76fc3271,retrieve,2024-10-30 13:35:54.743708,2024-10-30 13:35:56.440154,[],OK,,1730295354.743708,1730295356.440154,1,1,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,"['2024-10-30 13:35:55,339 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:35:55,432 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,433 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,436 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,436 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:35:55,436 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,437 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,437 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,437 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,438 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:35:55,438 - httpcore.connection - [_trace.py:85] - DEBUG']",5.8,1005,1.696446180343628
