id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,193,032057c4c72f2774,,query,2024-10-30 13:51:26.131823,2024-10-30 13:51:30.470338,[],OK,,1730296286.131823,1730296290.470338,1,20,2,1,0,1,1,1,8,1,1,4,1,1,1,1,1,"['2024-10-30 13:51:26,434 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-30 13:51:26,438 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:26,442 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,444 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,444 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,535 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,536 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:51:26,536 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:27,552 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:27,555 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-30 13:51:29,443 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:29,444 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-30 13:51:29,445 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-30 13:51:29,536 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 13:51:29,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,540 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,540 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,541 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,541 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,541 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,541 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,458 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,459 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:51:30,459 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,460 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,460 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,460 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,461 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 13:51:30,469 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:30,470 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-30 13:51:29,600 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 13:51:29,602 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 13:51:30,135 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-30 13:51:30,433 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 13:51:30,459 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,4.338515043258667
2,193,fa4f835a898107b9,032057c4c72f2774,retrieve,2024-10-30 13:51:26.132192,2024-10-30 13:51:27.544917,[],OK,,1730296286.132192,1730296287.544917,1,10,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,"['2024-10-30 13:51:26,434 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-30 13:51:26,438 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:26,442 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,444 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,444 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,532 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,535 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,536 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:51:26,536 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:26,538 - httpcore.connection - [_trace.py:85] - DEBUG']",5.2,1005.0,1.4127252101898193
3,193,3bc828e0e2e72eb2,fa4f835a898107b9,embedding,2024-10-30 13:51:26.132482,2024-10-30 13:51:26.341972,[],OK,,1730296286.132482,1730296286.341972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],5.2,1005.0,0.20949006080627441
4,193,63d7f7260d326d07,032057c4c72f2774,reranking,2024-10-30 13:51:27.634344,2024-10-30 13:51:29.433896,[],OK,,1730296287.634344,1730296289.433896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],5.2,1005.0,1.7995519638061523
5,193,2b5e2f2438b31037,032057c4c72f2774,llm,2024-10-30 13:51:29.446041,2024-10-30 13:51:30.463067,[],OK,,1730296289.446041,1730296290.463067,0,10,1,0,0,1,0,1,4,0,0,0,1,1,1,1,1,"['2024-10-30 13:51:29,536 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 13:51:29,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,538 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,540 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,540 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,541 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,541 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,541 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:29,541 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,458 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,459 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:51:30,459 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,460 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,460 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,460 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:30,461 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 13:51:29,600 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 13:51:29,602 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 13:51:30,135 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-30 13:51:30,433 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 13:51:30,459 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,1.0170259475708008
6,193,0d1886c290eee951,2b5e2f2438b31037,llm_request,2024-10-30 13:51:29.600284,2024-10-30 13:51:30.432863,[],OK,,1730296289.600284,1730296290.432863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0.0,0.8325788974761963
7,193,39ea6e2223805103,0d1886c290eee951,llm_scheduler,2024-10-30 21:51:29.621300,2024-10-30 21:51:29.642315,[],OK,,1730296289.6212995,1730296289.642315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],14.4,1005.0,0.021015405654907227
8,193,83acba2ffe9d1a4f,0d1886c290eee951,llm_generate,2024-10-30 21:51:30.117793,2024-10-30 21:51:30.407184,[],OK,,1730296290.117793,1730296290.407184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],14.4,1005.0,0.28939080238342285
9,194,5ea8821c24ec266d,,query,2024-10-30 13:51:30.538536,2024-10-30 13:51:34.616686,[],OK,,1730296290.538536,1730296294.616686,0,20,2,1,0,1,1,1,4,1,1,4,1,1,1,1,0,"['2024-10-30 13:51:31,036 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:31,042 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,043 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,044 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,044 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,044 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,131 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,132 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,135 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,135 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:51:31,135 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,136 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,137 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,137 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,137 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,137 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:32,147 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:32,148 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-30 13:51:33,543 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:33,544 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-30 13:51:33,544 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-30 13:51:33,636 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 13:51:33,638 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:33,638 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:33,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:33,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:33,639 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:34,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:34,605 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:51:34,606 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:34,606 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:34,607 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:34,607 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:34,607 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 13:51:34,615 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:34,616 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-30 13:51:33,699 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 13:51:33,701 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 13:51:34,583 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 13:51:34,605 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,4.078150033950806
10,194,3e7be2619e9bc526,5ea8821c24ec266d,retrieve,2024-10-30 13:51:30.539295,2024-10-30 13:51:32.142117,[],OK,,1730296290.539295,1730296292.142117,0,10,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,"['2024-10-30 13:51:31,036 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 13:51:31,042 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,043 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,044 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,044 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,044 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,131 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,132 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,135 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,135 - httpx - [_client.py:1786] - INFO', '2024-10-30 13:51:31,135 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,136 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,137 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,137 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,137 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 13:51:31,137 - httpcore.connection - [_trace.py:85] - DEBUG']",7.2,1005.0,1.6028220653533936
