id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@urllib3.connectionpool - [connectionpool.py:243] - DEBUG,log@httpx - [_config.py:82] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@httpx - [_config.py:148] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,1975,01da57a5b448886d,,query,2024-11-04 02:30:33.191486,2024-11-04 02:30:39.217499,[],OK,,1730687433.191486,1730687439.217499,1,1,20,0,1,4,1,1,1,6,1,2,1,1,1,1,2,1,1,"['2024-11-04 02:30:33,738 - urllib3.connectionpool - [connectionpool.py:243] - DEBUG', '2024-11-04 02:30:33,741 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:33,744 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,744 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,748 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,748 - httpx - [_client.py:1786] - INFO', '2024-11-04 02:30:33,748 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,750 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,750 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,750 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,750 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,751 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:34,761 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:34,764 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-04 02:30:35,957 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:35,958 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-04 02:30:35,959 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-04 02:30:35,961 - httpx - [_config.py:82] - DEBUG', '2024-11-04 02:30:35,962 - httpx - [_config.py:148] - DEBUG', '2024-11-04 02:30:35,992 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 02:30:35,993 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,994 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,187 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,188 - httpx - [_client.py:1786] - INFO', '2024-11-04 02:30:39,189 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,190 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,190 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,190 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,191 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 02:30:39,216 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:39,217 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-04 02:30:36,963 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 02:30:36,964 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG', '2024-11-04 02:30:36,965 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 02:30:37,716 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 02:30:39,168 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 02:30:39,188 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,6.026013135910034
2,1975,43757c6047c41cde,01da57a5b448886d,retrieve,2024-11-04 02:30:33.192742,2024-11-04 02:30:34.755047,[],OK,,1730687433.192742,1730687434.755047,1,0,10,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,"['2024-11-04 02:30:33,738 - urllib3.connectionpool - [connectionpool.py:243] - DEBUG', '2024-11-04 02:30:33,741 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:33,744 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,744 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,745 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,748 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,748 - httpx - [_client.py:1786] - INFO', '2024-11-04 02:30:33,748 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,750 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,750 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,750 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,750 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:33,751 - httpcore.connection - [_trace.py:85] - DEBUG']",38.6,1005,1.562304973602295
3,1975,7a09563127899152,43757c6047c41cde,embedding,2024-11-04 02:30:33.193672,2024-11-04 02:30:33.735948,[],OK,,1730687433.193672,1730687433.735948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],38.6,1005,0.54227614402771
4,1975,94a76f4e4b0bff28,01da57a5b448886d,reranking,2024-11-04 02:30:34.766357,2024-11-04 02:30:35.920738,[],OK,,1730687434.766357,1730687435.920738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],38.6,1005,1.1543810367584229
5,1975,93e5a95f5066469e,01da57a5b448886d,llm,2024-11-04 02:30:35.960033,2024-11-04 02:30:39.209253,[],OK,,1730687435.960033,1730687439.209253,0,1,10,0,0,0,1,0,1,2,1,1,0,0,1,1,2,1,1,"['2024-11-04 02:30:35,961 - httpx - [_config.py:82] - DEBUG', '2024-11-04 02:30:35,962 - httpx - [_config.py:148] - DEBUG', '2024-11-04 02:30:35,992 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 02:30:35,993 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,994 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:35,995 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,187 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,188 - httpx - [_client.py:1786] - INFO', '2024-11-04 02:30:39,189 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,190 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,190 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,190 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,191 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 02:30:36,963 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 02:30:36,964 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG', '2024-11-04 02:30:36,965 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 02:30:37,716 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 02:30:39,168 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 02:30:39,188 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,3.249220132827759
6,1975,cc45782198a6416d,93e5a95f5066469e,llm_request,2024-11-04 02:30:36.963482,2024-11-04 02:30:39.167984,[],OK,,1730687436.963482,1730687439.167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,2.2045021057128906
7,1975,170d06d876788d9d,cc45782198a6416d,llm_scheduler,2024-11-04 10:30:36.975700,2024-11-04 10:30:36.987917,[],OK,,1730687436.9757,1730687436.9879174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],26.8,1005,0.012217521667480469
8,1975,107e88a7e516319b,cc45782198a6416d,llm_generate,2024-11-04 10:30:37.697759,2024-11-04 10:30:39.132061,[],OK,,1730687437.6977592,1730687439.1320612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],71.9,1005,1.4343020915985107
9,1976,60c5c62b1da5889f,,query,2024-11-04 02:30:39.229791,2024-11-04 02:30:42.930851,[],OK,,1730687439.229791,1730687442.930851,0,0,20,0,1,4,0,1,1,4,1,2,1,1,1,1,1,1,1,"['2024-11-04 02:30:39,282 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:39,286 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,287 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,287 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,288 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,288 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,288 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,288 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,291 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,291 - httpx - [_client.py:1786] - INFO', '2024-11-04 02:30:39,291 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,294 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,294 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,294 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,295 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,295 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:40,310 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:40,314 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-04 02:30:40,707 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:40,708 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-04 02:30:40,708 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-04 02:30:40,711 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-04 02:30:40,715 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:40,715 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:40,715 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:40,715 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:40,715 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:42,917 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:42,918 - httpx - [_client.py:1786] - INFO', '2024-11-04 02:30:42,919 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:42,919 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:42,920 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:42,920 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:42,921 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-04 02:30:42,929 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:42,930 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-04 02:30:40,780 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-04 02:30:40,782 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-04 02:30:42,769 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-04 02:30:42,896 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-04 02:30:42,918 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,3.7010600566864014
10,1976,ea64dd1ed5794e80,60c5c62b1da5889f,retrieve,2024-11-04 02:30:39.230725,2024-11-04 02:30:40.302725,[],OK,,1730687439.230725,1730687440.302725,0,0,10,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,"['2024-11-04 02:30:39,282 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-04 02:30:39,286 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,287 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,287 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,288 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,288 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,288 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,288 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,291 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,291 - httpx - [_client.py:1786] - INFO', '2024-11-04 02:30:39,291 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,294 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,294 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,294 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,295 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-04 02:30:39,295 - httpcore.connection - [_trace.py:85] - DEBUG']",13.0,1005,1.0720000267028809
