id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,496,21136712899d83cb,,query,2024-10-30 23:57:10.177930,2024-10-30 23:57:12.616629,[],OK,,1730332630.17793,1730332632.616629,1,4,1,1,1,0,1,20,8,2,1,1,1,1,1,1,1,"['2024-10-30 23:57:10,234 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-30 23:57:10,236 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:10,241 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,243 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,243 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,244 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,244 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,244 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,244 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,247 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,248 - httpx - [_client.py:1786] - INFO', '2024-10-30 23:57:10,249 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,250 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,251 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,251 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,251 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,252 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,268 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:11,272 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-30 23:57:11,664 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:11,664 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-30 23:57:11,665 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-30 23:57:11,668 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 23:57:11,669 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,669 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,669 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,671 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,605 - httpx - [_client.py:1786] - INFO', '2024-10-30 23:57:12,605 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,606 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,606 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,606 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,607 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 23:57:12,615 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:12,616 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-30 23:57:11,731 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 23:57:11,733 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 23:57:12,267 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-30 23:57:12,583 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 23:57:12,604 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,2.4386987686157227
2,496,23db1d1712bcf9b4,21136712899d83cb,retrieve,2024-10-30 23:57:10.178783,2024-10-30 23:57:11.259411,[],OK,,1730332630.178783,1730332631.259411,0,1,0,0,0,0,1,10,4,1,0,0,0,0,0,0,0,"['2024-10-30 23:57:10,234 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-30 23:57:10,236 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:10,241 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,243 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,243 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,244 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,244 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,244 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,244 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,247 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,248 - httpx - [_client.py:1786] - INFO', '2024-10-30 23:57:10,249 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,250 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,251 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,251 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,251 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:10,252 - httpcore.connection - [_trace.py:85] - DEBUG']",23.2,1005,1.0806281566619873
3,496,db438505b53733a3,23db1d1712bcf9b4,embedding,2024-10-30 23:57:10.179558,2024-10-30 23:57:10.231216,[],OK,,1730332630.179558,1730332630.231216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],23.2,810,0.051657915115356445
4,496,6182ca3f89f75375,21136712899d83cb,reranking,2024-10-30 23:57:11.282053,2024-10-30 23:57:11.659841,[],OK,,1730332631.282053,1730332631.659841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],23.2,1005,0.37778806686401367
5,496,2b83b29e8aa57a19,21136712899d83cb,llm,2024-10-30 23:57:11.665822,2024-10-30 23:57:12.609181,[],OK,,1730332631.665822,1730332632.609181,0,0,1,0,1,0,0,10,4,1,0,0,1,1,1,1,1,"['2024-10-30 23:57:11,668 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 23:57:11,669 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,669 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,669 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,670 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:11,671 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,604 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,605 - httpx - [_client.py:1786] - INFO', '2024-10-30 23:57:12,605 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,606 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,606 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,606 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:12,607 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 23:57:11,731 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 23:57:11,733 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 23:57:12,267 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-30 23:57:12,583 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 23:57:12,604 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,0.9433588981628418
6,496,3cad275ae072caae,2b83b29e8aa57a19,llm_request,2024-10-30 23:57:11.731130,2024-10-30 23:57:12.582322,[],OK,,1730332631.73113,1730332632.582322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,0.8511919975280762
7,496,787d8123d6b28424,3cad275ae072caae,llm_scheduler,2024-10-31 07:57:11.751536,2024-10-31 07:57:11.771942,[],OK,,1730332631.751536,1730332631.771942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],22.8,1005,0.020406007766723633
8,496,5c13a240076d8c77,3cad275ae072caae,llm_generate,2024-10-31 07:57:12.248842,2024-10-31 07:57:12.555939,[],OK,,1730332632.2488425,1730332632.555939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],22.8,1005,0.3070964813232422
9,500,30c238f104782348,,query,2024-10-30 23:57:19.998355,2024-10-30 23:57:23.677841,[],OK,,1730332639.998355,1730332643.677841,1,4,1,1,1,0,0,20,4,2,1,1,1,1,1,1,1,"['2024-10-30 23:57:20,030 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:20,034 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,035 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,036 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,036 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,036 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,037 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,037 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,039 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,039 - httpx - [_client.py:1786] - INFO', '2024-10-30 23:57:20,040 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,041 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,041 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,042 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,042 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,042 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:21,056 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:21,060 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-30 23:57:21,449 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:21,450 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-30 23:57:21,450 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-30 23:57:21,453 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-30 23:57:21,454 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:21,455 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:21,455 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:21,455 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:21,455 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:23,664 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:23,665 - httpx - [_client.py:1786] - INFO', '2024-10-30 23:57:23,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:23,667 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:23,667 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:23,668 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:23,668 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-30 23:57:23,676 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:23,677 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-30 23:57:21,514 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-30 23:57:21,517 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-30 23:57:22,362 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-30 23:57:23,642 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-30 23:57:23,665 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,3.679486036300659
10,500,7223307e8dd6cf0c,30c238f104782348,retrieve,2024-10-30 23:57:19.999145,2024-10-30 23:57:21.048180,[],OK,,1730332639.999145,1730332641.04818,0,1,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,"['2024-10-30 23:57:20,030 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-30 23:57:20,034 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,035 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,036 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,036 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,036 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,037 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,037 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,039 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,039 - httpx - [_client.py:1786] - INFO', '2024-10-30 23:57:20,040 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,041 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,041 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,042 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,042 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-30 23:57:20,042 - httpcore.connection - [_trace.py:85] - DEBUG']",13.2,1005,1.0490350723266602
