id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,526,df672e850ac0714b,,query,2024-10-31 00:00:58.542222,2024-10-31 00:01:02.069979,[],OK,,1730332858.542222,1730332862.069979,1,20,0,1,4,1,1,8,1,2,1,1,1,1,1,1,1,"['2024-10-31 00:00:58,597 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 00:00:58,601 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:00:58,606 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,608 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,608 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,612 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,613 - httpx - [_client.py:1786] - INFO', '2024-10-31 00:00:58,613 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,614 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,615 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,615 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,615 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,615 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:00:59,630 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:00:59,634 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 00:01:01,060 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:01:01,062 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 00:01:01,062 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 00:01:01,068 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 00:01:01,070 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,070 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,070 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,071 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,055 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,056 - httpx - [_client.py:1786] - INFO', '2024-10-31 00:01:02,057 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,057 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,058 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,058 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,058 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 00:01:02,068 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:01:02,069 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 00:01:01,133 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 00:01:01,135 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 00:01:01,752 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 00:01:02,033 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 00:01:02,056 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,3.527756929397583
2,526,e1ee0d8b3d63e8be,df672e850ac0714b,retrieve,2024-10-31 00:00:58.543081,2024-10-31 00:00:59.621945,[],OK,,1730332858.543081,1730332859.621945,0,10,0,0,1,0,0,4,0,1,1,0,0,0,0,0,0,"['2024-10-31 00:00:58,597 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 00:00:58,601 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:00:58,606 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,608 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,608 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,609 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,612 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,613 - httpx - [_client.py:1786] - INFO', '2024-10-31 00:00:58,613 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,614 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,615 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,615 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,615 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:00:58,615 - httpcore.connection - [_trace.py:85] - DEBUG']",34.8,210,1.0788638591766357
3,526,36ffc7a2bf666737,e1ee0d8b3d63e8be,embedding,2024-10-31 00:00:58.543817,2024-10-31 00:00:58.594234,[],OK,,1730332858.543817,1730332858.594234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],34.8,1005,0.05041694641113281
4,526,d5c11c59052bd537,df672e850ac0714b,reranking,2024-10-31 00:00:59.642440,2024-10-31 00:01:01.052369,[],OK,,1730332859.64244,1730332861.052369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],34.8,210,1.4099290370941162
5,526,0bcba34db60270ba,df672e850ac0714b,llm,2024-10-31 00:01:01.064081,2024-10-31 00:01:02.061824,[],OK,,1730332861.064081,1730332862.061824,0,10,0,0,0,0,1,4,1,1,0,0,1,1,1,1,1,"['2024-10-31 00:01:01,068 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 00:01:01,070 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,070 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,070 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,071 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:01,072 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,055 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,056 - httpx - [_client.py:1786] - INFO', '2024-10-31 00:01:02,057 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,057 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,058 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,058 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,058 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 00:01:01,133 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 00:01:01,135 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 00:01:01,752 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 00:01:02,033 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 00:01:02,056 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,0.9977431297302246
6,526,98ecdbc6cec7190b,0bcba34db60270ba,llm_request,2024-10-31 00:01:01.132868,2024-10-31 00:01:02.032440,[],OK,,1730332861.132868,1730332862.03244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,0.8995718955993652
7,526,0a379a6f734fa9e2,98ecdbc6cec7190b,llm_scheduler,2024-10-31 08:01:01.153682,2024-10-31 08:01:01.174497,[],OK,,1730332861.1536825,1730332861.174497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],21.0,1005,0.02081441879272461
8,526,358c821219027621,98ecdbc6cec7190b,llm_generate,2024-10-31 08:01:01.650461,2024-10-31 08:01:02.002690,[],OK,,1730332861.650461,1730332862.0026898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],21.0,1005,0.35222887992858887
9,527,71e1e240a3ffbcb7,,query,2024-10-31 00:01:02.084738,2024-10-31 00:01:05.600733,[],OK,,1730332862.084738,1730332865.600733,1,20,0,1,4,1,1,4,1,2,0,1,1,0,1,1,1,"['2024-10-31 00:01:02,147 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:01:02,151 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,153 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,153 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,153 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,154 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,154 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,154 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,157 - httpx - [_client.py:1786] - INFO', '2024-10-31 00:01:02,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,159 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,159 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,160 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,160 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,160 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:03,176 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:01:03,180 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 00:01:04,607 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:01:04,608 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 00:01:04,608 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 00:01:04,615 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 00:01:04,617 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:04,617 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:04,617 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:04,617 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:04,617 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:05,592 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:05,592 - httpx - [_client.py:1786] - INFO', '2024-10-31 00:01:05,592 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:05,593 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:05,594 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:05,594 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:05,594 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 00:01:05,599 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:01:05,600 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 00:01:04,677 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 00:01:04,680 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 00:01:05,570 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 00:01:05,593 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,3.5159950256347656
10,527,03569f14e805a3a3,71e1e240a3ffbcb7,retrieve,2024-10-31 00:01:02.085722,2024-10-31 00:01:03.167291,[],OK,,1730332862.085722,1730332863.167291,0,10,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,"['2024-10-31 00:01:02,147 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 00:01:02,151 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,153 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,153 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,153 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,154 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,154 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,154 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,157 - httpx - [_client.py:1786] - INFO', '2024-10-31 00:01:02,157 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,159 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,159 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,160 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,160 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 00:01:02,160 - httpcore.connection - [_trace.py:85] - DEBUG']",34.8,210,1.081568956375122
