id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,984,47682e142070910b,,query,2024-10-31 02:08:46.492411,2024-10-31 02:08:52.968822,[],OK,,1730340526.492411,1730340532.968822,1,4,1,1,1,0,1,20,8,2,1,1,2,1,1,1,1,1,"['2024-10-31 02:08:46,547 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 02:08:46,551 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:46,554 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,555 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,556 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,556 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,558 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,559 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:08:46,559 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,573 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:47,577 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 02:08:47,965 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:47,965 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 02:08:47,966 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 02:08:47,969 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:08:47,970 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,970 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,970 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,971 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,971 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,971 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,971 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,972 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,972 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,951 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,952 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:08:48,952 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,953 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,953 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,954 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,954 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:08:48,962 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:48,963 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 02:08:50,965 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:08:52,968 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:08:48,033 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:08:48,035 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:08:48,567 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 02:08:48,930 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:08:48,952 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,6.4764111042022705
2,984,6e941cd0032cfe8f,47682e142070910b,retrieve,2024-10-31 02:08:46.493319,2024-10-31 02:08:47.564115,[],OK,,1730340526.493319,1730340527.564115,0,1,0,0,0,0,1,10,4,1,0,0,0,0,0,0,0,0,"['2024-10-31 02:08:46,547 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 02:08:46,551 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:46,554 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,555 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,555 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,556 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,556 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,558 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,559 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:08:46,559 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:46,560 - httpcore.connection - [_trace.py:85] - DEBUG']",11.8,1005,1.070796012878418
3,984,d6f0bf696c239661,6e941cd0032cfe8f,embedding,2024-10-31 02:08:46.494125,2024-10-31 02:08:46.544031,[],OK,,1730340526.494125,1730340526.544031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],11.8,1005,0.049906015396118164
4,984,6e07010847b2bd16,47682e142070910b,reranking,2024-10-31 02:08:47.581794,2024-10-31 02:08:47.960514,[],OK,,1730340527.581794,1730340527.960514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],11.8,1005,0.3787200450897217
5,984,cb3de1cb713372f1,47682e142070910b,llm,2024-10-31 02:08:47.966672,2024-10-31 02:08:48.956460,[],OK,,1730340527.966672,1730340528.95646,0,0,1,0,1,0,0,10,4,1,0,0,0,1,1,1,1,1,"['2024-10-31 02:08:47,969 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:08:47,970 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,970 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,970 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,971 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,971 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,971 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,971 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,972 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:47,972 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,951 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,952 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:08:48,952 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,953 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,953 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,954 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:48,954 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:08:48,033 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:08:48,035 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:08:48,567 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 02:08:48,930 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:08:48,952 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,0.9897880554199219
6,984,33dc02db662741f2,cb3de1cb713372f1,llm_request,2024-10-31 02:08:48.033251,2024-10-31 02:08:48.929212,[],OK,,1730340528.033251,1730340528.929212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,0.8959610462188721
7,984,c2fdbd07dddabbc7,33dc02db662741f2,llm_scheduler,2024-10-31 10:08:48.053650,2024-10-31 10:08:48.074050,[],OK,,1730340528.0536504,1730340528.07405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],21.2,1005,0.02039957046508789
8,984,9dd10cd732b718c6,33dc02db662741f2,llm_generate,2024-10-31 10:08:48.549433,2024-10-31 10:08:48.899218,[],OK,,1730340528.5494328,1730340528.8992178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],21.2,1005,0.34978508949279785
9,985,9f9f67ebc2a58893,,query,2024-10-31 02:08:52.981138,2024-10-31 02:08:59.478584,[],OK,,1730340532.981138,1730340539.478584,1,4,1,1,1,0,0,20,8,2,1,1,2,1,1,1,1,1,"['2024-10-31 02:08:53,040 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:53,045 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,046 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,047 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,047 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,048 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,048 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,048 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,050 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,051 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:08:53,051 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,053 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,053 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,053 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,054 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,054 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,071 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:54,074 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 02:08:54,466 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:54,468 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 02:08:54,469 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 02:08:54,474 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:08:54,475 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,476 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,476 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,477 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,477 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,477 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,477 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,477 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:54,478 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:55,460 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:55,461 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:08:55,462 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:55,462 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:55,463 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:55,463 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:55,463 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:08:55,472 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:55,473 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 02:08:57,475 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:08:59,478 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:08:54,538 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:08:54,540 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:08:55,074 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 02:08:55,439 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:08:55,461 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,6.497446060180664
10,985,0c160fb09b0857b3,9f9f67ebc2a58893,retrieve,2024-10-31 02:08:52.981967,2024-10-31 02:08:54.061836,[],OK,,1730340532.981967,1730340534.061836,0,1,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,"['2024-10-31 02:08:53,040 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:08:53,045 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,046 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,047 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,047 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,048 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,048 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,048 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,050 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,051 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:08:53,051 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,053 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,053 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,053 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,054 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:08:53,054 - httpcore.connection - [_trace.py:85] - DEBUG']",12.6,1005,1.079869031906128
