id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,log@httpx - [_client.py:1786] - INFO,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,1015,c5a54b01701efde5,,query,2024-10-31 02:14:04.250459,2024-10-31 02:14:12.684159,[],OK,,1730340844.250459,1730340852.684159,1,8,3,2,20,4,1,1,1,0,1,1,1,1,1,1,1,1,"['2024-10-31 02:14:04,307 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 02:14:04,310 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:04,313 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,314 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,316 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,316 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,318 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,319 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:14:04,319 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,320 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,320 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,320 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,321 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,321 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,336 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:05,337 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 02:14:05,724 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:05,725 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 02:14:05,725 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 02:14:05,728 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:14:05,729 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,729 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,729 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,730 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,730 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,730 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,664 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,665 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:14:06,665 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,667 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,667 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:14:06,676 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:06,677 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 02:14:08,679 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:14:10,682 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:14:12,683 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:14:05,791 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:14:05,793 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:14:06,327 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 02:14:06,644 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:14:06,665 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,8.43370008468628
2,1015,e20ceaad15cf3b10,c5a54b01701efde5,retrieve,2024-10-31 02:14:04.251365,2024-10-31 02:14:05.326982,[],OK,,1730340844.251365,1730340845.326982,0,4,0,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,"['2024-10-31 02:14:04,307 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-10-31 02:14:04,310 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:04,313 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,314 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,315 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,316 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,316 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,318 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,319 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:14:04,319 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,320 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,320 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,320 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,321 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:04,321 - httpcore.connection - [_trace.py:85] - DEBUG']",11.8,1005,1.0756170749664307
3,1015,f65f49c43f8f4a7d,e20ceaad15cf3b10,embedding,2024-10-31 02:14:04.252200,2024-10-31 02:14:04.304561,[],OK,,1730340844.2522,1730340844.304561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],11.8,1005,0.05236101150512695
4,1015,d4311d7ad82f2a68,c5a54b01701efde5,reranking,2024-10-31 02:14:05.340168,2024-10-31 02:14:05.719700,[],OK,,1730340845.340168,1730340845.7197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],11.8,1005,0.3795320987701416
5,1015,84c336f3d16d05ed,c5a54b01701efde5,llm,2024-10-31 02:14:05.726269,2024-10-31 02:14:06.669860,[],OK,,1730340845.726269,1730340846.66986,1,4,0,1,10,0,0,0,0,0,0,0,1,1,1,1,1,1,"['2024-10-31 02:14:05,728 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:14:05,729 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,729 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,729 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,730 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,730 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,730 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:05,731 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,664 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,665 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:14:06,665 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,666 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,667 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:06,667 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:14:05,791 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:14:05,793 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:14:06,327 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 02:14:06,644 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:14:06,665 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0,0.9435908794403076
6,1015,5a2b3cfde1b2ff4c,84c336f3d16d05ed,llm_request,2024-10-31 02:14:05.791075,2024-10-31 02:14:06.643517,[],OK,,1730340845.791075,1730340846.643517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0,0.8524420261383057
7,1015,8d02fcd38945d8f9,5a2b3cfde1b2ff4c,llm_scheduler,2024-10-31 10:14:05.811455,2024-10-31 10:14:05.831835,[],OK,,1730340845.811455,1730340845.8318346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],19.8,1005,0.02037954330444336
8,1015,1704472abe4a6e2e,5a2b3cfde1b2ff4c,llm_generate,2024-10-31 10:14:06.307359,2024-10-31 10:14:06.619544,[],OK,,1730340846.3073587,1730340846.6195445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],19.8,1005,0.31218576431274414
9,1016,ca229e991c366eff,,query,2024-10-31 02:14:12.697594,2024-10-31 02:14:21.169517,[],OK,,1730340852.697594,1730340861.169517,1,8,3,2,20,4,1,1,0,0,1,1,1,1,1,2,1,1,"['2024-10-31 02:14:12,759 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:12,764 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,766 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,766 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,767 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,767 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,768 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,768 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,770 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,770 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:14:12,770 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,771 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,772 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,772 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,772 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,772 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:13,788 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:13,793 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-10-31 02:14:14,183 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:14,184 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-10-31 02:14:14,184 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-10-31 02:14:14,188 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-10-31 02:14:14,189 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:14,190 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:14,190 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:14,190 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:14,191 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:14,191 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:14,191 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:14,191 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:14,191 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:15,149 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:15,150 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:14:15,150 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:15,151 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:15,151 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:15,152 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:15,152 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-10-31 02:14:15,160 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:15,161 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-10-31 02:14:17,164 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:14:19,166 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:14:21,169 - llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO', '2024-10-31 02:14:14,253 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-10-31 02:14:14,255 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-10-31 02:14:14,786 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-10-31 02:14:15,128 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-10-31 02:14:15,150 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG', '2024-10-31 02:14:20,121 - vllm.engine.metrics - [metrics.py:295] - INFO']",0.0,0,8.471923112869263
10,1016,be16aeb60d7718e5,ca229e991c366eff,retrieve,2024-10-31 02:14:12.698451,2024-10-31 02:14:13.779298,[],OK,,1730340852.698451,1730340853.779298,0,4,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,"['2024-10-31 02:14:12,759 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-10-31 02:14:12,764 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,766 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,766 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,767 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,767 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,768 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,768 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,770 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,770 - httpx - [_client.py:1786] - INFO', '2024-10-31 02:14:12,770 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,771 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,772 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,772 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,772 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-10-31 02:14:12,772 - httpcore.connection - [_trace.py:85] - DEBUG']",1.8,1005,1.0808470249176025
