id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,1727,32d524a0a56f8a16,,query,2024-11-02 00:00:02.823502,2024-11-02 00:00:09.457763,[],OK,,1730505602.823502,1730505609.457763,4,0,1,1,8,1,1,1,1,2,20,1,2,1,1,1,2,"['2024-11-02 00:00:02,881 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-02 00:00:02,885 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:02,892 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,893 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,894 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,894 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,894 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,895 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,895 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,898 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,899 - httpx - [_client.py:1786] - INFO', '2024-11-02 00:00:02,899 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,901 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,901 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,901 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,901 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,902 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:03,919 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:03,923 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-02 00:00:04,498 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:04,499 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-02 00:00:04,500 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-02 00:00:04,506 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-02 00:00:04,507 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,507 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,507 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,443 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,444 - httpx - [_client.py:1786] - INFO', '2024-11-02 00:00:09,444 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,445 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,446 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,446 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,447 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-02 00:00:09,456 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:09,457 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-02 00:00:03,262 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-02 00:00:06,582 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-02 00:00:08,585 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-02 00:00:08,587 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-02 00:00:09,125 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-02 00:00:09,430 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-02 00:00:09,443 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,6.634260892868042
2,1727,f1f7efd87dc3ef45,32d524a0a56f8a16,retrieve,2024-11-02 00:00:02.825083,2024-11-02 00:00:03.910822,[],OK,,1730505602.825083,1730505603.910822,1,0,0,0,4,0,1,0,0,1,10,0,0,0,0,0,1,"['2024-11-02 00:00:02,881 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-02 00:00:02,885 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:02,892 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,893 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,894 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,894 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,894 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,895 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,895 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,898 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,899 - httpx - [_client.py:1786] - INFO', '2024-11-02 00:00:02,899 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,901 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,901 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,901 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,901 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:02,902 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:03,262 - vllm.engine.metrics - [metrics.py:295] - INFO']",13.0,1005.0,1.0857388973236084
3,1727,efb23294353789e4,f1f7efd87dc3ef45,embedding,2024-11-02 00:00:02.826181,2024-11-02 00:00:02.877618,[],OK,,1730505602.826181,1730505602.877618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],13.0,1005.0,0.0514371395111084
4,1727,9b9174ab8c0710d7,32d524a0a56f8a16,reranking,2024-11-02 00:00:03.931629,2024-11-02 00:00:04.314367,[],OK,,1730505603.931629,1730505604.314367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],13.0,1005.0,0.3827381134033203
5,1727,7ebd6e1cd13c15e1,32d524a0a56f8a16,llm,2024-11-02 00:00:04.502068,2024-11-02 00:00:09.449760,[],OK,,1730505604.502068,1730505609.44976,0,0,0,0,4,0,0,1,1,1,10,0,2,1,1,1,1,"['2024-11-02 00:00:04,506 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-02 00:00:04,507 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,507 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,507 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:04,508 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,443 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,444 - httpx - [_client.py:1786] - INFO', '2024-11-02 00:00:09,444 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,445 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,446 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,446 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,447 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-02 00:00:06,582 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-02 00:00:08,585 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-02 00:00:08,587 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-02 00:00:09,125 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-02 00:00:09,430 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-02 00:00:09,443 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,4.947691917419434
6,1727,5f1ff97c71cff814,7ebd6e1cd13c15e1,llm_request,2024-11-02 00:00:04.579719,2024-11-02 00:00:09.429837,[],OK,,1730505604.579719,1730505609.429837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0.0,4.850117921829224
7,1727,f2fad93ec60c2a7b,5f1ff97c71cff814,llm_scheduler,2024-11-02 08:00:08.609109,2024-11-02 08:00:12.638500,[],OK,,1730505608.6091094,1730505612.6384995,5,1,1,1,4,1,0,1,0,1,15,1,0,0,0,0,0,"['2024-11-02 00:00:09,456 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:09,457 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-02 00:00:09,465 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:09,471 - llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO', '2024-11-02 00:00:09,524 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:09,529 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,530 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,530 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,531 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,531 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,531 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,531 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,534 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,534 - httpx - [_client.py:1786] - INFO', '2024-11-02 00:00:09,534 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,536 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,536 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,536 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,537 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:09,537 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-02 00:00:10,552 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:10,555 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-02 00:00:10,943 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:10,943 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-02 00:00:10,944 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-02 00:00:10,947 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-02 00:00:10,948 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:10,948 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:10,948 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:10,949 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:10,949 - httpcore.http11 - [_trace.py:85] - DEBUG']",19.4,1005.0,4.029390096664429
8,1727,d28bbcd131a3775b,5f1ff97c71cff814,llm_generate,2024-11-02 08:00:09.106387,2024-11-02 08:00:09.407207,[],OK,,1730505609.106387,1730505609.4072068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],19.4,1005.0,0.30081987380981445
9,1728,2b95f2e3eb93a045,,query,2024-11-02 00:00:09.471602,2024-11-02 00:00:15.951012,[],OK,,1730505609.471602,1730505615.951012,1,0,1,0,0,0,1,0,1,1,5,0,2,1,1,1,1,"['2024-11-02 00:00:15,936 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:15,937 - httpx - [_client.py:1786] - INFO', '2024-11-02 00:00:15,938 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:15,938 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:15,939 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:15,939 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-02 00:00:15,940 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-02 00:00:15,944 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-02 00:00:15,949 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-02 00:00:15,950 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-02 00:00:13,012 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-02 00:00:15,015 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-02 00:00:15,016 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-02 00:00:15,019 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-02 00:00:15,914 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-02 00:00:15,937 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,6.47940993309021
10,1728,a572d69c8ecf8478,2b95f2e3eb93a045,retrieve,2024-11-02 00:00:09.472386,2024-11-02 00:00:10.544270,[],OK,,1730505609.472386,1730505610.54427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],12.0,1005.0,1.0718841552734375
