id,trace_rowid,span_id,parent_id,name,start_time,end_time,events,status_code,status_message,start_time_unix,end_time_unix,log@openai._base_client - [_base_client.py:1585] - DEBUG,log@httpcore.connection - [_trace.py:85] - DEBUG,log@httpx - [_client.py:1786] - INFO,log@httpcore.http11 - [_trace.py:85] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@openai._base_client - [_base_client.py:446] - DEBUG,log@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log_entries,metric@cpu_usage,metric@gpu_graph_clock,duration
1,1922,a8ca6a7be7a28210,,query,2024-11-03 06:28:23.223536,2024-11-03 06:28:32.968977,[],OK,,1730615303.223536,1730615312.968977,1,4,2,20,4,1,1,1,0,1,1,1,3,1,1,1,1,"['2024-11-03 06:28:23,275 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:23,280 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,281 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,282 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,282 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,282 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,283 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,283 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,285 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,285 - httpx - [_client.py:1786] - INFO', '2024-11-03 06:28:23,285 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,287 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,287 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,287 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,287 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,288 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,302 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:24,306 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-03 06:28:24,695 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:24,696 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-03 06:28:24,696 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-03 06:28:24,699 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,956 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,957 - httpx - [_client.py:1786] - INFO', '2024-11-03 06:28:32,957 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,958 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,958 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,958 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,959 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-03 06:28:32,963 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-03 06:28:32,967 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:32,968 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-03 06:28:26,762 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-03 06:28:28,766 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-03 06:28:30,770 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-03 06:28:30,774 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-03 06:28:31,327 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-03 06:28:32,934 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-03 06:28:32,957 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,9.74544095993042
2,1922,e3663927fe3dbe5a,a8ca6a7be7a28210,retrieve,2024-11-03 06:28:23.224320,2024-11-03 06:28:24.294443,[],OK,,1730615303.22432,1730615304.294443,0,4,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,"['2024-11-03 06:28:23,275 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:23,280 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,281 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,282 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,282 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,282 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,283 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,283 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,285 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,285 - httpx - [_client.py:1786] - INFO', '2024-11-03 06:28:23,285 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,287 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,287 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,287 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,287 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:23,288 - httpcore.connection - [_trace.py:85] - DEBUG']",2.0,1005.0,1.0701229572296143
3,1922,47d72d03d7f68937,e3663927fe3dbe5a,embedding,2024-11-03 06:28:23.225099,2024-11-03 06:28:23.271163,[],OK,,1730615303.225099,1730615303.271163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],2.0,1005.0,0.046063899993896484
4,1922,9e1578f2f4e4be17,a8ca6a7be7a28210,reranking,2024-11-03 06:28:24.311543,2024-11-03 06:28:24.691611,[],OK,,1730615304.311543,1730615304.691611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],10.2,1005.0,0.3800680637359619
5,1922,f7f6e346bb0bb143,a8ca6a7be7a28210,llm,2024-11-03 06:28:24.697052,2024-11-03 06:28:32.960892,[],OK,,1730615304.697052,1730615312.960892,1,0,1,10,0,0,0,0,0,0,0,1,3,1,1,1,1,"['2024-11-03 06:28:24,699 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:24,700 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,956 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,957 - httpx - [_client.py:1786] - INFO', '2024-11-03 06:28:32,957 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,958 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,958 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,958 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:32,959 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-03 06:28:26,762 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-03 06:28:28,766 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-03 06:28:30,770 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-03 06:28:30,774 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-03 06:28:31,327 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-03 06:28:32,934 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-03 06:28:32,957 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,8.263839960098267
6,1922,5a45a71745ac1564,f7f6e346bb0bb143,llm_request,2024-11-03 06:28:24.760392,2024-11-03 06:28:32.933277,[],OK,,1730615304.760392,1730615312.933277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0.0,0.0,8.172884941101074
7,1922,bd144d6615fa64ac,5a45a71745ac1564,llm_scheduler,2024-11-03 14:28:30.808830,2024-11-03 14:28:36.857269,[],OK,,1730615310.8088305,1730615316.857269,0,4,1,15,5,1,1,1,1,1,1,1,1,0,0,0,0,"['2024-11-03 06:28:32,963 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-03 06:28:32,967 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:32,968 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-03 06:28:32,973 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:32,979 - llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO', '2024-11-03 06:28:33,033 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:33,037 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,038 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,039 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,040 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,040 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,040 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,041 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,043 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,043 - httpx - [_client.py:1786] - INFO', '2024-11-03 06:28:33,043 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,044 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,044 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,045 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,045 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:33,045 - httpcore.connection - [_trace.py:85] - DEBUG', '2024-11-03 06:28:34,176 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:34,180 - llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG', '2024-11-03 06:28:34,572 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:34,572 - llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG', '2024-11-03 06:28:34,573 - llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG', '2024-11-03 06:28:34,576 - openai._base_client - [_base_client.py:446] - DEBUG', '2024-11-03 06:28:34,577 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:34,577 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:34,577 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:34,577 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:34,577 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:36,642 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO']",45.4,1005.0,6.048438549041748
8,1922,dc0e76b41315ff86,5a45a71745ac1564,llm_generate,2024-11-03 14:28:31.309144,2024-11-03 14:28:32.903734,[],OK,,1730615311.3091445,1730615312.9037335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],45.4,1005.0,1.5945889949798584
9,1923,bae7b057b980c538,,query,2024-11-03 06:28:32.979777,2024-11-03 06:28:41.602845,[],OK,,1730615312.979777,1730615321.602845,1,0,1,5,1,0,0,1,0,1,0,0,2,1,1,1,1,"['2024-11-03 06:28:41,589 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:41,590 - httpx - [_client.py:1786] - INFO', '2024-11-03 06:28:41,591 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:41,591 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:41,592 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:41,592 - httpcore.http11 - [_trace.py:85] - DEBUG', '2024-11-03 06:28:41,592 - openai._base_client - [_base_client.py:1585] - DEBUG', '2024-11-03 06:28:41,597 - urllib3.connectionpool - [connectionpool.py:291] - DEBUG', '2024-11-03 06:28:41,601 - urllib3.connectionpool - [connectionpool.py:546] - DEBUG', '2024-11-03 06:28:41,602 - llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO', '2024-11-03 06:28:38,646 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-03 06:28:40,650 - vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO', '2024-11-03 06:28:40,654 - vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG', '2024-11-03 06:28:41,207 - vllm.engine.metrics - [metrics.py:295] - INFO', '2024-11-03 06:28:41,567 - vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO', '2024-11-03 06:28:41,590 - vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG']",0.0,0.0,8.623067855834961
10,1923,96077519d4803271,bae7b057b980c538,retrieve,2024-11-03 06:28:32.980568,2024-11-03 06:28:34.050328,[],OK,,1730615312.980568,1730615314.050328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],5.0,1005.0,1.0697600841522217
