trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@httpx - [_config.py:82] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@httpx - [_config.py:148] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@urllib3.connectionpool - [connectionpool.py:243] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_fan_speed_percent,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_fan_speed_percent,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_fan_speed_percent,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
1978,3.727972030639648,1.0785150527954102,0.0465838909149169,0.3812980651855469,2.23404312133789,2.14021897315979,0.0234920978546142,1.3668670654296875,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,1,0.0,39346098176.0,134785609728.0,40.3,2405978350080.0,4021435216896.0,44281421.0,161093133.0,15.6,1806299136.0,47464353792.0,1.3401275845731209,21807104.0,405504.0,20021.0,502.0,0.0,2299.1875,46068.0,1626.0,37.0,62.521,,0.0,0.0,3617.1875,46068.0,2944.0,35.0,61.759,,0.0,1005.0,1005.0,49.4,5956751360.0,68443455488.0,4.419426800843829,1796669440.0,257523712.0,13097.0,988265.0,0.0,41009.1875,46068.0,40328.0,38.0,65.134,,0.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
1979,3.8938629627227774,1.077111005783081,0.0496490001678466,0.3867790699005127,2.314068078994751,2.221524953842163,0.0231900215148925,1.4481925964355469,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,1,0.0,39321264128.0,134785609728.0,40.2,2405978350080.0,4021435798528.0,44281421.0,161093222.0,18.8,1808396288.0,47464353792.0,1.3416835014133772,21807104.0,655360.0,20031.0,618.0,0.0,2299.1875,46068.0,1626.0,37.0,62.229,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,85.739,,0.0,1005.0,1005.0,65.7,5956751360.0,68443455488.0,4.419426800843829,1796669440.0,263643136.0,13124.0,1012066.0,97.0,41009.1875,46068.0,40328.0,42.0,140.785,,97.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
1980,3.8490960597991934,1.075873851776123,0.0486669540405273,0.3839998245239258,2.2319509983062744,2.1369569301605225,0.0237815380096435,1.3629212379455566,18.0,3515.0,3533.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,0,0.0,39390461952.0,134785609728.0,40.3,2405978350080.0,4021481214976.0,44281421.0,161093675.0,18.8,1808396288.0,47464353792.0,1.3416835014133772,21807104.0,655360.0,20031.0,618.0,0.0,2299.1875,46068.0,1626.0,37.0,62.229,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,85.739,,0.0,1005.0,1005.0,65.7,5956751360.0,68443455488.0,4.419426800843829,1796669440.0,263643136.0,13124.0,1012066.0,97.0,41009.1875,46068.0,40328.0,42.0,140.785,,97.0,1005.0,1,0,0.0,6,13,7189,0.5079769900000001,2179,0.6559316962957382
1981,3.864882946014404,1.078991174697876,0.0510311126708984,0.3846879005432129,2.3393959999084477,2.245002031326294,0.0228040218353271,1.471545696258545,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,1,0.0,39390461952.0,134785609728.0,40.3,2405978350080.0,4021481214976.0,44281421.0,161093675.0,13.0,1808396288.0,47464353792.0,1.3416835014133772,21807104.0,786432.0,20043.0,721.0,0.0,2299.1875,46068.0,1626.0,37.0,62.231,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,61.987,,0.0,1005.0,1005.0,68.1,5956751360.0,68443455488.0,4.419426800843829,1796669440.0,272805888.0,13162.0,1047985.0,37.0,41009.1875,46068.0,40328.0,40.0,98.452,,37.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
1982,3.8480191230773926,1.072981834411621,0.046947956085205,0.3851571083068847,2.3150792121887207,2.215611934661865,0.0232441425323486,1.4428973197937012,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,1,0.0,39250939904.0,134785609728.0,40.2,2405978350080.0,4021482374144.0,44281421.0,161093773.0,14.6,1808396288.0,47464353792.0,1.3416835014133772,21807104.0,917504.0,20061.0,860.0,0.0,2299.1875,46068.0,1626.0,37.0,64.624,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,61.962,,0.0,1005.0,1005.0,49.0,5956751360.0,68443455488.0,4.419426800843829,1796669440.0,278048768.0,13184.0,1068497.0,0.0,41009.1875,46068.0,40328.0,39.0,66.759,,0.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
1983,3.888852119445801,1.0799169540405271,0.0508100986480712,0.384225845336914,2.3358709812164307,2.240514039993286,0.024001121520996,1.4647455215454102,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,0,0.0,39309172736.0,134785609728.0,40.2,2405978350080.0,4021487637504.0,44281421.0,161094008.0,16.8,1808920576.0,47464353792.0,1.3420724806234412,21807104.0,1171456.0,20071.0,974.0,0.0,2299.1875,46068.0,1626.0,37.0,62.327,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,89.874,,0.0,1005.0,1005.0,64.7,5956751360.0,68444504064.0,4.419426800843829,1796669440.0,283746304.0,13210.0,1090627.0,100.0,41009.1875,46068.0,40328.0,44.0,114.785,,100.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
1986,3.8116989135742183,1.0803987979888916,0.0507969856262207,0.3704481124877929,2.33503794670105,2.233604907989502,0.0226280689239501,1.4590210914611816,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,0,0.0,39276175360.0,134785609728.0,40.2,2405978579456.0,4021490189312.0,44281429.0,161094165.0,14.8,1809444864.0,47464353792.0,1.3424614598335054,21807104.0,1433600.0,20100.0,1214.0,0.0,2299.1875,46068.0,1626.0,37.0,63.613,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,62.05,,0.0,1005.0,1005.0,45.4,5957275648.0,68444504064.0,4.419815780053893,1797234688.0,298741760.0,13325.0,1149405.0,0.0,41009.1875,46068.0,40328.0,40.0,73.497,,0.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
1987,3.68138599395752,1.0851821899414062,0.0471839904785156,0.3835859298706054,2.175803899765014,2.127454996109009,0.0116004943847656,1.3694663047790527,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,1,0.0,39385915392.0,134785609728.0,40.3,2405979144704.0,4021491024896.0,44281453.0,161094271.0,19.2,1809444864.0,47465402368.0,1.3424614598335054,21807104.0,1683456.0,20109.0,1330.0,0.0,2299.1875,46068.0,1626.0,37.0,62.23,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,105.541,,0.0,1005.0,1005.0,64.9,5957275648.0,68444504064.0,4.419815780053893,1797234688.0,304635904.0,13351.0,1172319.0,100.0,41009.1875,46068.0,40328.0,44.0,148.847,,100.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
1988,3.8416149616241455,1.0790090560913086,0.0470471382141113,0.3804080486297607,2.351016998291016,2.25919508934021,0.0229022502899169,1.4839026927947998,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,1,0.0,39348867072.0,134785609728.0,40.3,2405979144704.0,4021533357056.0,44281453.0,161094716.0,19.2,1809444864.0,47465402368.0,1.3424614598335054,21807104.0,1683456.0,20109.0,1330.0,0.0,2299.1875,46068.0,1626.0,37.0,62.23,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,105.541,,0.0,1005.0,1005.0,64.9,5957275648.0,68444504064.0,4.419815780053893,1797234688.0,304635904.0,13351.0,1172319.0,100.0,41009.1875,46068.0,40328.0,44.0,148.847,,100.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
1989,3.731976985931397,1.04203200340271,0.0193641185760498,0.3794660568237304,2.239352941513061,2.141911029815674,0.0230240821838378,1.3718345165252686,19.0,3515.0,3534.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,0,4,0,2,1,1,1,4,1,0,0,1,1,1,1,1,0,0.0,39348867072.0,134785609728.0,40.3,2405979144704.0,4021533357056.0,44281453.0,161094716.0,13.8,1806356480.0,47465271296.0,1.3401701291742218,21807104.0,1818624.0,20129.0,1471.0,0.0,2299.1875,46068.0,1626.0,37.0,67.769,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,62.131,,0.0,1005.0,1005.0,71.1,5957275648.0,68444504064.0,4.419815780053893,1797234688.0,314253312.0,13391.0,1210020.0,38.0,41009.1875,46068.0,40328.0,42.0,100.096,,38.0,1005.0,1,0,0.0,6,14,7189,0.5079769900000001,2179,0.6559316962957382
