trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_fan_speed_percent,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_fan_speed_percent,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_fan_speed_percent,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
2025,4.334712982177734,1.072849988937378,0.0475809574127197,0.3828589916229248,2.8494269847869877,2.7593579292297363,0.0199594497680664,2.232576847076416,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,40849113088.0,134785609728.0,39.8,2414004609536.0,4022799201280.0,44370481.0,161161099.0,12.2,1808437248.0,47465271296.0,1.3417138904141634,237568.0,2076672.0,20187.0,2058.0,0.0,2299.1875,46068.0,1626.0,37.0,62.217,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,109.91,,0.0,1005.0,1005.0,72.3,5952958464.0,68442161152.0,4.416612779371023,315580416.0,496103424.0,14182.0,1924229.0,79.0,41027.1875,46068.0,40346.0,47.0,110.992,,79.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2026,4.425491094589233,1.0736758708953855,0.0473670959472656,0.3793978691101074,2.939826011657715,2.8502891063690186,0.0203793048858642,2.327842235565185,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,40906203136.0,134785609728.0,39.8,2414004609536.0,4022801892352.0,44370481.0,161161242.0,12.0,1808961536.0,47465271296.0,1.3421028696242276,237568.0,2170880.0,20196.0,2147.0,0.0,2299.1875,46068.0,1626.0,37.0,62.123,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,74.335,,0.0,1005.0,1005.0,72.8,5952958464.0,68442161152.0,4.416612779371023,315580416.0,506601472.0,14228.0,1965531.0,37.0,41027.1875,46068.0,40346.0,45.0,123.719,,37.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2031,4.554046154022217,1.0784449577331543,0.0515849590301513,0.3836009502410888,3.0565669536590576,2.9656758308410645,0.0320608615875244,2.4275076389312744,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,41013653504.0,134785609728.0,39.9,2414004609536.0,4022845797376.0,44370481.0,161161952.0,12.4,1810534400.0,47465271296.0,1.3432698072544198,237568.0,2551808.0,20242.0,2565.0,0.0,2299.1875,46068.0,1626.0,37.0,64.307,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,62.154,,0.0,1005.0,1005.0,63.4,5952958464.0,68442161152.0,4.416612779371023,315580416.0,543821824.0,14389.0,2111855.0,0.0,41027.1875,46068.0,40346.0,43.0,78.078,,0.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2025,4.334712982177734,1.072849988937378,0.0475809574127197,0.3828589916229248,2.8494269847869877,2.7593579292297363,0.0199594497680664,2.232576847076416,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,40849113088.0,134785609728.0,39.8,2414004609536.0,4022799201280.0,44370481.0,161161099.0,12.2,1808437248.0,47465271296.0,1.3417138904141634,237568.0,2076672.0,20187.0,2058.0,0.0,2299.1875,46068.0,1626.0,37.0,62.217,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,109.91,,0.0,1005.0,1005.0,72.3,5952958464.0,68442161152.0,4.416612779371023,315580416.0,496103424.0,14182.0,1924229.0,79.0,41027.1875,46068.0,40346.0,47.0,110.992,,79.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2026,4.425491094589233,1.0736758708953855,0.0473670959472656,0.3793978691101074,2.939826011657715,2.8502891063690186,0.0203793048858642,2.327842235565185,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,40906203136.0,134785609728.0,39.8,2414004609536.0,4022801892352.0,44370481.0,161161242.0,12.0,1808961536.0,47465271296.0,1.3421028696242276,237568.0,2170880.0,20196.0,2147.0,0.0,2299.1875,46068.0,1626.0,37.0,62.123,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,74.335,,0.0,1005.0,1005.0,72.8,5952958464.0,68442161152.0,4.416612779371023,315580416.0,506601472.0,14228.0,1965531.0,37.0,41027.1875,46068.0,40346.0,45.0,123.719,,37.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2031,4.554046154022217,1.0784449577331543,0.0515849590301513,0.3836009502410888,3.0565669536590576,2.9656758308410645,0.0320608615875244,2.4275076389312744,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,41013653504.0,134785609728.0,39.9,2414004609536.0,4022845797376.0,44370481.0,161161952.0,12.4,1810534400.0,47465271296.0,1.3432698072544198,237568.0,2551808.0,20242.0,2565.0,0.0,2299.1875,46068.0,1626.0,37.0,64.307,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,62.154,,0.0,1005.0,1005.0,63.4,5952958464.0,68442161152.0,4.416612779371023,315580416.0,543821824.0,14389.0,2111855.0,0.0,41027.1875,46068.0,40346.0,43.0,78.078,,0.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2025,4.334712982177734,1.072849988937378,0.0475809574127197,0.3828589916229248,2.8494269847869877,2.7593579292297363,0.0199594497680664,2.232576847076416,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,40849113088.0,134785609728.0,39.8,2414004609536.0,4022799201280.0,44370481.0,161161099.0,12.2,1808437248.0,47465271296.0,1.3417138904141634,237568.0,2076672.0,20187.0,2058.0,0.0,2299.1875,46068.0,1626.0,37.0,62.217,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,109.91,,0.0,1005.0,1005.0,72.3,5952958464.0,68442161152.0,4.416612779371023,315580416.0,496103424.0,14182.0,1924229.0,79.0,41027.1875,46068.0,40346.0,47.0,110.992,,79.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2026,4.425491094589233,1.0736758708953855,0.0473670959472656,0.3793978691101074,2.939826011657715,2.8502891063690186,0.0203793048858642,2.327842235565185,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,40906203136.0,134785609728.0,39.8,2414004609536.0,4022801892352.0,44370481.0,161161242.0,12.0,1808961536.0,47465271296.0,1.3421028696242276,237568.0,2170880.0,20196.0,2147.0,0.0,2299.1875,46068.0,1626.0,37.0,62.123,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,74.335,,0.0,1005.0,1005.0,72.8,5952958464.0,68442161152.0,4.416612779371023,315580416.0,506601472.0,14228.0,1965531.0,37.0,41027.1875,46068.0,40346.0,45.0,123.719,,37.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2031,4.554046154022217,1.0784449577331543,0.0515849590301513,0.3836009502410888,3.0565669536590576,2.9656758308410645,0.0320608615875244,2.4275076389312744,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,41013653504.0,134785609728.0,39.9,2414004609536.0,4022845797376.0,44370481.0,161161952.0,12.4,1810534400.0,47465271296.0,1.3432698072544198,237568.0,2551808.0,20242.0,2565.0,0.0,2299.1875,46068.0,1626.0,37.0,64.307,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,62.154,,0.0,1005.0,1005.0,63.4,5952958464.0,68442161152.0,4.416612779371023,315580416.0,543821824.0,14389.0,2111855.0,0.0,41027.1875,46068.0,40346.0,43.0,78.078,,0.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
2031,4.554046154022217,1.0784449577331543,0.0515849590301513,0.3836009502410888,3.0565669536590576,2.9656758308410645,0.0320608615875244,2.4275076389312744,32.0,2196.0,2228.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,20,1,4,2,1,0,1,4,1,0,1,1,1,1,1,1,1,0.0,41013653504.0,134785609728.0,39.9,2414004609536.0,4022845797376.0,44370481.0,161161952.0,12.4,1810534400.0,47465271296.0,1.3432698072544198,237568.0,2551808.0,20242.0,2565.0,0.0,2299.1875,46068.0,1626.0,37.0,64.307,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,62.154,,0.0,1005.0,1005.0,63.4,5952958464.0,68442161152.0,4.416612779371023,315580416.0,543821824.0,14389.0,2111855.0,0.0,41027.1875,46068.0,40346.0,43.0,78.078,,0.0,1005.0,0,1,0.1786470465348882,6,22,4800,0.6395011066666666,1005,0.6827405790487925
