trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_fan_speed_percent,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_fan_speed_percent,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_fan_speed_percent,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
649,4.426563024520874,1.063755989074707,0.0414130687713623,0.3800129890441894,2.949773073196411,2.8575119972229004,0.0191164016723632,0.5706610679626465,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29053857792.0,134785609728.0,27.7,2179585187840.0,3713522324480.0,41698904.0,151752974.0,12.0,1810763776.0,47465279488.0,1.3434399856588226,0.0,20754432.0,22065.0,19569.0,0.0,2299.1875,46068.0,1626.0,38.0,64.266,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,62.517,,0.0,1005.0,1005.0,59.9,5868556288.0,68478980096.0,4.353993204350866,327680.0,798748672.0,15221.0,3114745.0,0.0,41181.1875,46068.0,40500.0,39.0,66.588,,0.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
650,4.444157123565674,1.072490930557251,0.0473659038543701,0.3772029876708984,2.957397937774658,2.8635761737823486,0.0205624103546142,0.5729773044586182,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29050961920.0,134785609728.0,27.7,2179585187840.0,3713522942976.0,41698904.0,151753060.0,18.8,1810763776.0,47465279488.0,1.3434399856588226,0.0,20942848.0,22074.0,19685.0,0.0,2299.1875,46068.0,1626.0,38.0,63.754,,0.0,45.0,3617.1875,46068.0,2944.0,39.0,92.587,,45.0,1005.0,1005.0,64.9,5868556288.0,68478980096.0,4.353993204350866,327680.0,801120256.0,15232.0,3123884.0,27.0,41181.1875,46068.0,40500.0,40.0,71.181,,27.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
651,4.435056924819946,1.0781450271606443,0.0474979877471923,0.3831138610839844,2.944626808166504,2.853063106536865,0.0206410884857177,0.5667610168457031,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29057458176.0,134785609728.0,27.7,2179585187840.0,3713524200448.0,41698904.0,151753199.0,12.2,1810763776.0,47465279488.0,1.3434399856588226,0.0,21037056.0,22084.0,19774.0,0.0,2299.1875,46068.0,1626.0,38.0,62.458,,0.0,0.0,3617.1875,46068.0,2944.0,38.0,86.499,,0.0,1005.0,1005.0,71.1,5868556288.0,68478980096.0,4.353993204350866,327680.0,803065856.0,15240.0,3131456.0,100.0,41181.1875,46068.0,40500.0,41.0,87.348,,100.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
652,4.4343791007995605,1.0732989311218262,0.0472118854522705,0.3733479976654053,2.953099012374878,2.8602490425109863,0.0205743312835693,0.570448637008667,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,0,1,0.0,29064896512.0,134785609728.0,27.7,2179585187840.0,3713524610048.0,41698904.0,151753261.0,11.8,1810763776.0,47465279488.0,1.3434399856588226,0.0,21131264.0,22094.0,19863.0,0.0,2299.1875,46068.0,1626.0,38.0,62.462,,0.0,0.0,3617.1875,46068.0,2944.0,38.0,80.617,,0.0,1005.0,1005.0,71.7,5868556288.0,68478980096.0,4.353993204350866,327680.0,805064704.0,15248.0,3139256.0,100.0,41181.1875,46068.0,40500.0,41.0,98.425,,100.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
653,4.440672159194946,1.0733439922332764,0.0478429794311523,0.3782958984375,2.955509901046753,2.8586370944976807,0.0194630622863769,0.5725443363189697,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29060628480.0,134785609728.0,27.7,2179585187840.0,3713528161280.0,41698904.0,151753464.0,12.0,1810763776.0,47465279488.0,1.3434399856588226,0.0,21225472.0,22103.0,19952.0,0.0,2299.1875,46068.0,1626.0,38.0,62.438,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,62.677,,0.0,1005.0,1005.0,71.5,5868556288.0,68478980096.0,4.353993204350866,327680.0,807211008.0,15257.0,3147591.0,100.0,41181.1875,46068.0,40500.0,41.0,98.562,,100.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
654,4.434442043304443,1.07179594039917,0.0475718975067138,0.3763909339904785,2.953597068786621,2.86171293258667,0.0206685066223144,0.5754308700561523,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29059014656.0,134785609728.0,27.7,2179585187840.0,3713528665088.0,41698904.0,151753543.0,12.0,1810763776.0,47465279488.0,1.3434399856588226,0.0,21225472.0,22103.0,19952.0,0.0,2299.1875,46068.0,1626.0,38.0,62.438,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,62.677,,0.0,1005.0,1005.0,71.5,5868556288.0,68478980096.0,4.353993204350866,327680.0,807211008.0,15257.0,3147591.0,100.0,41181.1875,46068.0,40500.0,41.0,98.562,,100.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
655,4.430341005325317,1.074419021606445,0.0477890968322753,0.3782351016998291,2.9469668865203857,2.854207992553711,0.0204339027404785,0.5662102699279785,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,0,1,0.0,29059014656.0,134785609728.0,27.7,2179585187840.0,3713528665088.0,41698904.0,151753543.0,13.8,1810763776.0,47465279488.0,1.3434399856588226,0.0,21327872.0,22122.0,20103.0,0.0,2299.1875,46068.0,1626.0,38.0,63.709,,0.0,0.0,3617.1875,46068.0,2944.0,38.0,62.606,,0.0,1005.0,1005.0,69.7,5868556288.0,68478980096.0,4.353993204350866,327680.0,810491904.0,15269.0,3160404.0,42.0,41181.1875,46068.0,40500.0,41.0,94.123,,42.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
656,4.441261053085327,1.0791990756988523,0.0493419170379638,0.380152940750122,2.953238010406494,2.85868501663208,0.0206451416015625,0.5690646171569824,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29040619520.0,134785609728.0,27.7,2179585187840.0,3713543574528.0,41698904.0,151753773.0,12.0,1807773696.0,47465279488.0,1.3412215886014265,0.0,21422080.0,22132.0,20192.0,0.0,2299.1875,46068.0,1626.0,38.0,63.761,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,62.605,,0.0,1005.0,1005.0,60.0,5868556288.0,68478980096.0,4.353993204350866,327680.0,812425216.0,15277.0,3167919.0,0.0,41181.1875,46068.0,40500.0,40.0,66.128,,0.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
657,4.432807922363281,1.0745849609375,0.0472819805145263,0.3781330585479736,2.9529168605804443,2.863240957260132,0.0198748111724853,0.570899486541748,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29033074688.0,134785609728.0,27.7,2179585187840.0,3713544152064.0,41698904.0,151753836.0,21.6,1808822272.0,47465279488.0,1.3419995470215542,0.0,21610496.0,22141.0,20308.0,0.0,2299.1875,46068.0,1626.0,38.0,62.532,,0.0,100.0,3617.1875,46068.0,2944.0,41.0,89.608,,100.0,1005.0,1005.0,61.2,5868556288.0,68478980096.0,4.353993204350866,327680.0,814555136.0,15288.0,3176220.0,0.0,41181.1875,46068.0,40500.0,40.0,67.176,,0.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
658,4.41466498374939,1.07037615776062,0.0456809997558593,0.3707211017608642,2.951510190963745,2.8556180000305176,0.0210318565368652,0.5690090656280518,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,4,1,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29016219648.0,134785609728.0,27.7,2179585191936.0,3713545389056.0,41698905.0,151753959.0,11.6,1808822272.0,47465279488.0,1.3419995470215542,0.0,21704704.0,22151.0,20397.0,0.0,2299.1875,46068.0,1626.0,38.0,62.47,,0.0,0.0,3617.1875,46068.0,2944.0,38.0,97.191,,0.0,1005.0,1005.0,71.5,5868556288.0,68478980096.0,4.353993204350866,327680.0,816742400.0,15296.0,3184638.0,100.0,41181.1875,46068.0,40500.0,42.0,86.269,,100.0,210.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
