trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_fan_speed_percent,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_fan_speed_percent,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_fan_speed_percent,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
1049,10.48630690574646,1.081623077392578,0.0515539646148681,0.3808438777923584,0.9817850589752196,0.888836145401001,0.0208268165588378,0.3432514667510986,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29971933184.0,134785609728.0,28.4,2179693793280.0,3715967202304.0,41702077.0,151911302.0,6.1,1810624512.0,47464361984.0,1.3433366630561494,0.0,587776.0,20045.0,718.0,0.0,2299.1875,46068.0,1626.0,38.0,62.426,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,69.099,,0.0,1005.0,1005.0,11.3,5871333376.0,68480028672.0,4.356053578604175,327680.0,1780015104.0,18691.0,6952146.5,0.0,41181.1875,46068.0,40500.0,39.5,65.3865,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1050,10.481371879577637,1.0793981552124023,0.0502460002899169,0.3790900707244873,0.977100133895874,0.8844988346099854,0.0201451778411865,0.3407990932464599,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29965015040.0,134785609728.0,28.4,2179693793280.0,3715972195328.0,41702077.0,151911584.5,6.1,1811148800.0,47464361984.0,1.3437256422662136,0.0,694272.0,20057.0,825.0,0.0,2299.1875,46068.0,1626.0,38.0,62.4535,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,69.2895,,0.0,1005.0,1005.0,11.0,5871333376.0,68480028672.0,4.356053578604175,327680.0,1782138880.0,18698.0,6960384.5,0.0,41181.1875,46068.0,40500.0,39.5,69.8185,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1051,10.4916889667511,1.0771989822387695,0.0491130352020263,0.3835451602935791,0.9889631271362304,0.8964309692382812,0.0208308696746826,0.3497252464294433,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29982717952.0,134785609728.0,28.4,2179693793280.0,3715978175488.0,41702077.0,151911877.0,6.1,1811148800.0,47464361984.0,1.3437256422662136,0.0,796672.0,20069.0,933.0,0.0,2299.1875,46068.0,1626.0,38.0,62.4985,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,69.388,,0.0,1005.0,1005.0,11.3,5871333376.0,68480028672.0,4.356053578604175,327680.0,1784252416.0,18705.0,6968610.5,0.0,41181.1875,46068.0,40500.0,39.5,77.74199999999999,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1052,10.480787992477415,1.0731208324432373,0.0494351387023925,0.381990909576416,0.9818429946899414,0.8877830505371094,0.0199699401855468,0.3416833877563476,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29972774912.0,134785609728.0,28.4,2179693793280.0,3715983055872.0,41702077.0,151912130.0,6.3,1811673088.0,47464361984.0,1.3441146214762776,0.0,903168.0,20081.0,1041.0,0.0,2299.1875,46068.0,1626.0,38.0,62.4675,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,69.5915,,0.0,1005.0,1005.0,11.0,5871333376.0,68480028672.0,4.356053578604175,327680.0,1786374144.0,18712.0,6976881.0,0.0,41181.1875,46068.0,40500.0,39.5,88.5,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1053,10.497523784637451,1.0789358615875244,0.0509388446807861,0.3828630447387695,0.9876649379730223,0.8960189819335938,0.0200841426849365,0.3501629829406738,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29798148096.0,134785609728.0,28.3,2179693793280.0,3715987899392.0,41702077.0,151912400.0,6.1,1811673088.0,47464361984.0,1.3441146214762776,0.0,1005568.0,20093.0,1149.0,0.0,2299.1875,46068.0,1626.0,38.0,62.471500000000006,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,70.995,,0.0,1005.0,1005.0,11.3,5871333376.0,68480028672.0,4.356053578604175,327680.0,1788485632.0,18719.0,6985107.0,0.0,41181.1875,46068.0,40500.0,39.5,96.5205,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1054,10.498493909835815,1.0785369873046875,0.0495979785919189,0.3840889930725097,0.9915249347686768,0.8986501693725586,0.020247459411621,0.3530616760253906,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29903958016.0,134785609728.0,28.4,2179693793280.0,3715992794112.0,41702077.0,151912734.5,6.199999999999999,1812197376.0,47464361984.0,1.3445036006863416,0.0,1114112.0,20105.0,1257.0,0.0,2299.1875,46068.0,1626.0,38.0,62.4515,,0.0,0.0,3617.1875,46068.0,2944.0,37.0,67.93,,0.0,1005.0,1005.0,11.2,5871333376.0,68480028672.0,4.356053578604175,327680.0,1790601216.0,18726.0,6993341.0,23.5,41181.1875,46068.0,40500.0,40.0,95.407,,23.5,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1055,10.454079151153564,1.070742130279541,0.0488250255584716,0.3847670555114746,0.953305959701538,0.8612091541290283,0.0203785896301269,0.3174893856048584,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29920108544.0,134785609728.0,28.4,2179693793280.0,3715997064192.0,41702077.0,151912973.0,6.3,1812197376.0,47464361984.0,1.3445036006863416,0.0,1214464.0,20117.0,1356.0,0.0,2299.1875,46068.0,1626.0,38.0,62.4305,,0.0,0.0,3617.1875,46068.0,2944.0,37.5,83.188,,0.0,1005.0,1005.0,9.3,5871333376.0,68480028672.0,4.356053578604175,327680.0,1792290816.0,18732.0,6999903.5,24.5,41181.1875,46068.0,40500.0,40.5,82.831,,24.5,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1056,10.493405103683472,1.0839719772338867,0.0536179542541503,0.3802378177642822,0.9915368556976318,0.896373987197876,0.0203447341918945,0.3505492210388183,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29914763264.0,134785609728.0,28.4,2179693793280.0,3716001829888.0,41702077.0,151913231.0,6.0,1812721664.0,47465410560.0,1.3448925798964058,0.0,1318912.0,20129.0,1464.0,0.0,2299.1875,46068.0,1626.0,38.0,62.447500000000005,,0.0,0.0,3617.1875,46068.0,2944.0,37.5,82.328,,0.0,1005.0,1005.0,10.1,5871333376.0,68480028672.0,4.356053578604175,327680.0,1794222080.0,18738.5,7007396.5,50.0,41181.1875,46068.0,40500.0,41.5,94.875,,35.5,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1057,10.389595985412598,1.0768041610717771,0.0480060577392578,0.3840930461883545,0.8859598636627197,0.7941210269927979,0.0203528404235839,0.2522938251495361,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29893306368.0,134785609728.0,28.4,2179693793280.0,3716006568960.0,41702077.0,151913501.0,6.3,1813245952.0,47465410560.0,1.3452815591064695,0.0,1425408.0,20141.0,1572.0,0.0,2299.1875,46068.0,1626.0,38.0,63.189,,0.0,0.0,3617.1875,46068.0,2944.0,37.5,87.466,,0.0,1005.0,1005.0,9.1,5871333376.0,68480028672.0,4.356053578604175,327680.0,1796204544.0,18744.5,7015118.5,50.0,41181.1875,46068.0,40500.0,42.0,95.9535,,50.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1058,10.487528085708618,1.0809698104858398,0.0493459701538085,0.3908071517944336,0.9726769924163818,0.8785979747772217,0.0203678607940673,0.3333778381347656,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,0,1,8,1,4,1,1,0,1,1,20,4,2,1,1,1,1,1,0.0,29911855104.0,134785609728.0,28.4,2179693793280.0,3716011478016.0,41702077.0,151913790.5,6.6000000000000005,1809965056.0,47465279488.0,1.342847400143491,0.0,1531904.0,20153.0,1680.0,0.0,2299.1875,46068.0,1626.0,38.0,63.0775,,0.0,0.0,3617.1875,46068.0,2944.0,37.5,77.125,,0.0,1005.0,1005.0,9.9,5871333376.0,68480028672.0,4.356053578604175,327680.0,1798316032.0,18751.5,7023352.5,50.0,41181.1875,46068.0,40500.0,41.5,70.714,,50.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
