trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@httpx - [_client.py:1786] - INFO,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_fan_speed_percent,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_fan_speed_percent,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_fan_speed_percent,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
1925,8.353646039962769,1.075380802154541,0.0471160411834716,0.3822941780090332,6.842214107513428,6.754183053970337,6.028311491012573,0.210655927658081,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34576658432.0,134785609728.0,31.9,2387370787328.0,4005883610112.0,44037666.0,159610463.0,12.4,1815117824.0,47465275392.0,1.3466703364424015,1636171776.0,7163904.0,20672.0,6687.0,0.0,2299.1875,46068.0,1626.0,37.0,62.162,,0.0,0.0,3617.1875,46068.0,2944.0,35.0,61.778,,0.0,1005.0,1005.0,4.8,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,477687808.0,14007.0,1831747.0,0.0,41353.1875,46068.0,40672.0,37.0,64.019,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1927,10.09875202178955,1.0744459629058838,0.0476880073547363,0.3796520233154297,8.610705137252808,8.51975393295288,6.049304723739624,1.9415254592895508,27.0,2327.0,2354.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34582519808.0,134785609728.0,31.95,2387370787328.0,4005895488512.0,44037666.0,159611010.5,5.9,1815117824.0,47465275392.0,1.3466703364424015,1636171776.0,7356416.0,20691.0,6869.0,0.0,2299.1875,46068.0,1626.0,37.0,62.203,,0.0,0.0,3617.1875,46068.0,2944.0,35.5,61.879000000000005,,0.0,1005.0,1005.0,22.5,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,482723840.0,14027.0,1850848.5,19.0,41353.1875,46068.0,40672.0,38.0,99.9715,,21.5,1005.0,0,0,0.2141086228215638,6,18,4800,0.6395011066666666,1005,0.6827405790487925
1928,10.24588704109192,1.074934005737305,0.0466799736022949,0.3768188953399658,8.767586946487427,8.677535057067871,6.04814076423645,2.0995590686798096,27.0,2327.0,2354.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34447869952.0,134785609728.0,31.8,2387370787328.0,4005903729664.0,44037666.0,159611291.5,6.1,1815117824.0,47465275392.0,1.3466703364424015,1636171776.0,7454720.0,20701.0,6960.0,0.0,2299.1875,46068.0,1626.0,37.0,62.2275,,0.0,0.0,3617.1875,46068.0,2944.0,35.5,61.893,,0.0,1005.0,1005.0,27.5,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,490090496.0,14059.0,1879554.0,19.5,41353.1875,46068.0,40672.0,39.0,94.683,,19.5,1005.0,0,0,0.2141086228215638,6,18,4800,0.6395011066666666,1005,0.6827405790487925
1929,8.501383066177368,1.073089838027954,0.0462479591369628,0.3790531158447265,7.019116163253784,6.926497936248779,6.04850172996521,0.3483965396881103,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34457948160.0,134785609728.0,31.8,2387370787328.0,4005909877760.0,44037666.0,159611511.0,11.8,1815117824.0,47465275392.0,1.3466703364424015,1636171776.0,7557120.0,20711.0,7051.0,0.0,2299.1875,46068.0,1626.0,37.0,62.219,,0.0,0.0,3617.1875,46068.0,2944.0,35.0,61.844,,0.0,1005.0,1005.0,23.4,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,495689728.0,14083.0,1901423.0,0.0,41353.1875,46068.0,40672.0,38.0,64.156,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1930,8.328094959259033,1.075037956237793,0.0467598438262939,0.3763079643249511,6.843091011047363,6.760648965835571,6.063747882843018,0.1886863708496093,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34467055616.0,134785609728.0,31.85,2387370789376.0,4005919013888.0,44037666.5,159611749.0,6.1,1815117824.0,47465275392.0,1.3466703364424015,1636171776.0,7610368.0,20720.0,7128.5,0.0,2299.1875,46068.0,1626.0,37.0,62.8375,,0.0,0.0,3617.1875,46068.0,2944.0,35.0,61.8405,,0.0,1005.0,1005.0,10.8,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,497545216.0,14089.5,1908401.5,0.0,41353.1875,46068.0,40672.0,38.0,80.8095,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1931,8.339135885238647,1.0726120471954346,0.046868085861206,0.379472017288208,6.828597068786621,6.747113943099976,6.047163724899292,0.1907758712768554,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34534230016.0,134785609728.0,31.9,2387370791424.0,4005926202368.0,44037667.0,159611992.0,6.2,1815117824.0,47465275392.0,1.3466703364424015,1636171776.0,7753728.0,20730.0,7233.0,0.0,2299.1875,46068.0,1626.0,37.0,62.2885,,0.0,0.0,3617.1875,46068.0,2944.0,35.5,67.9995,,0.0,1005.0,1005.0,11.9,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,499750912.0,14099.0,1916705.0,0.0,41353.1875,46068.0,40672.0,39.5,75.1925,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1932,8.320818901062012,1.0757079124450684,0.0463759899139404,0.3799729347229004,6.826444864273071,6.745702028274536,6.047998428344727,0.1900177001953125,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34494918656.0,134785609728.0,31.9,2387370791424.0,4005930554368.0,44037667.0,159612168.0,11.8,1815117824.0,47465275392.0,1.3466703364424015,1636171776.0,7847936.0,20739.0,7324.0,0.0,2299.1875,46068.0,1626.0,37.0,62.219,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,61.875,,0.0,1005.0,1005.0,9.4,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,501665792.0,14107.0,1923969.0,0.0,41353.1875,46068.0,40672.0,38.0,64.204,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1933,8.354960918426514,1.072077989578247,0.046328067779541,0.3754758834838867,6.8059680461883545,6.760129928588867,6.06400203704834,0.1892035007476806,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34544429056.0,134785609728.0,31.9,2387370791424.0,4005934756864.0,44037667.0,159612364.5,5.5,1813331968.0,47465275392.0,1.3453453760081209,1636171776.0,7929856.0,20748.0,7405.0,0.0,2299.1875,46068.0,1626.0,37.0,62.375,,0.0,42.5,3617.1875,46068.0,2944.0,37.5,72.667,,42.5,1005.0,1005.0,8.2,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,503535616.0,14113.5,1930979.5,0.0,41353.1875,46068.0,40672.0,38.0,67.8745,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1934,8.507939100265503,1.0770440101623535,0.0470259189605712,0.3807058334350586,7.017064809799194,6.926362037658691,6.04820728302002,0.3508360385894775,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34523893760.0,134785609728.0,31.9,2387370791424.0,4005940532224.0,44037667.0,159612642.0,12.2,1812594688.0,47465275392.0,1.3447983739939682,1636171776.0,8048640.0,20758.0,7506.0,0.0,2299.1875,46068.0,1626.0,37.0,62.272,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,61.932,,0.0,1005.0,1005.0,17.4,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,505610240.0,14137.0,1938921.0,0.0,41353.1875,46068.0,40672.0,38.0,64.253,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1935,8.464576005935669,1.071315050125122,0.0469200611114501,0.379925012588501,6.983322858810425,6.892997980117798,6.022901773452759,0.3455662727355957,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,4,20,1,1,0,2,1,1,4,1,1,3,1,1,1,1,0.0,34401736704.0,134785609728.0,31.8,2387370791424.0,4005943866368.0,44037667.0,159612821.0,6.1000000000000005,1812594688.0,47465275392.0,1.3447983739939682,1636171776.0,8101888.0,20767.0,7583.5,1.5,2299.1875,46068.0,1626.0,37.0,63.0135,,1.5,0.0,3617.1875,46068.0,2944.0,35.5,61.947500000000005,,0.0,1005.0,1005.0,10.8,5963354112.0,68818817024.0,4.424325507770574,2538967040.0,507512832.0,14143.5,1946000.0,8.0,41353.1875,46068.0,40672.0,38.5,84.1275,,8.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
