trace_rowid,query>duration,retrieve>duration,embedding>duration,reranking>duration,llm>duration,llm_request>duration,llm_scheduler>duration,llm_generate>duration,trace@query@llm_token_count_completion,trace@query@llm_token_count_prompt,trace@query@llm_token_count_total,trace@retrieve@retrieve_num,trace@embedding@embedding_model_name,trace@embedding@embedding_vector,trace@reranking@rerank_model_name,trace@reranking@top_k,trace@llm_request@llm_model_name,trace@llm_request@parameters_best_of,trace@llm_request@parameters_max_tokens,trace@llm_request@parameters_n,trace@llm_request@parameters_temperature,trace@llm_request@parameters_top_p,log@rag@urllib3.connectionpool - [connectionpool.py:291] - DEBUG,log@rag@httpx - [_client.py:1786] - INFO,log@rag@openai._base_client - [_base_client.py:446] - DEBUG,log@rag@httpcore.http11 - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:112] - INFO,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:133] - DEBUG,log@rag@openai._base_client - [_base_client.py:1585] - DEBUG,log@rag@httpcore.connection - [_trace.py:85] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:117] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:125] - DEBUG,log@rag@urllib3.connectionpool - [connectionpool.py:546] - DEBUG,log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:134] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:564] - DEBUG,log@vllm@vllm.engine.metrics - [metrics.py:295] - INFO,log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:578] - DEBUG,metric@qdrant@cpu_usage_percent,metric@qdrant@mem_rss,metric@qdrant@mem_vms,metric@qdrant@mem_memory_percent,metric@qdrant@disk_read_bytes,metric@qdrant@disk_write_bytes,metric@qdrant@disk_read_count,metric@qdrant@disk_write_count,metric@rag@cpu_usage_percent,metric@rag@mem_rss,metric@rag@mem_vms,metric@rag@mem_memory_percent,metric@rag@disk_read_bytes,metric@rag@disk_write_bytes,metric@rag@disk_read_count,metric@rag@disk_write_count,metric@rag@gpu_3_gpu_utilization_percent,metric@rag@gpu_3_gpu_memory_used_MB,metric@rag@gpu_3_gpu_memory_total_MB,metric@rag@gpu_3_gpu_memory_process_used_MB,metric@rag@gpu_3_gpu_temperature_C,metric@rag@gpu_3_gpu_power_W,metric@rag@gpu_3_gpu_fan_speed_percent,metric@rag@gpu_3_gpu_sm_activity_percent,metric@rag@gpu_4_gpu_utilization_percent,metric@rag@gpu_4_gpu_memory_used_MB,metric@rag@gpu_4_gpu_memory_total_MB,metric@rag@gpu_4_gpu_memory_process_used_MB,metric@rag@gpu_4_gpu_temperature_C,metric@rag@gpu_4_gpu_power_W,metric@rag@gpu_4_gpu_fan_speed_percent,metric@rag@gpu_4_gpu_sm_activity_percent,metric@rag@gpu_3_gpu_graph_clock,metric@rag@gpu_4_gpu_graph_clock,metric@vllm@cpu_usage_percent,metric@vllm@mem_rss,metric@vllm@mem_vms,metric@vllm@mem_memory_percent,metric@vllm@disk_read_bytes,metric@vllm@disk_write_bytes,metric@vllm@disk_read_count,metric@vllm@disk_write_count,metric@vllm@gpu_5_gpu_utilization_percent,metric@vllm@gpu_5_gpu_memory_used_MB,metric@vllm@gpu_5_gpu_memory_total_MB,metric@vllm@gpu_5_gpu_memory_process_used_MB,metric@vllm@gpu_5_gpu_temperature_C,metric@vllm@gpu_5_gpu_power_W,metric@vllm@gpu_5_gpu_fan_speed_percent,metric@vllm@gpu_5_gpu_sm_activity_percent,metric@vllm@gpu_5_gpu_graph_clock,quality@record@quality_kb,quality@record@quality_prompt,quality@answer_correctness,trace@query@input_value_sum,trace@query@output_value_sum,trace@retrieve@documents_contents_sum,trace@retrieve@documents_scores_top3mean,trace@reranking@output_documents_contents_sum,trace@reranking@output_documents_scores_top3mean
1828,10.524435997009276,1.0743861198425293,0.0472640991210937,0.3782541751861572,9.02981185913086,8.938892841339111,8.067868947982788,0.3424971103668213,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,31805364224.0,134785609728.0,29.8,2349120123392.0,3983574615040.0,43614739.0,157327635.0,6.2,1803476992.0,47465263104.0,1.338033782418948,16285696.0,3874816.0,20345.0,3662.0,0.0,2299.1875,46068.0,1626.0,37.0,62.174,,0.0,0.0,3617.1875,46068.0,2944.0,35.5,80.101,,0.0,1005.0,1005.0,23.8,5988581376.0,68478390272.0,4.443042093354828,8564736.0,376860672.0,13618.0,1439741.0,0.0,41059.1875,46068.0,40378.0,38.0,64.14500000000001,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1829,10.625163078308104,1.0789098739624023,0.0469961166381835,0.3702549934387207,9.043620109558104,8.948025941848755,8.068709135055542,0.3510010242462158,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,31730001920.0,134785609728.0,29.8,2349120123392.0,3983579272192.0,43614739.0,157327840.5,5.699999999999999,1803476992.0,47465263104.0,1.338033782418948,16285696.0,3973120.0,20354.0,3753.0,0.0,2299.1875,46068.0,1626.0,37.0,62.0975,,0.0,0.0,3617.1875,46068.0,2944.0,35.5,82.32650000000001,,0.0,1005.0,1005.0,10.9,5988581376.0,68478390272.0,4.443042093354828,8564736.0,378906624.0,13626.0,1447348.0,0.0,41059.1875,46068.0,40378.0,38.0,64.1605,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1831,10.531566143035889,1.0707051753997805,0.0494129657745361,0.3809161186218261,9.034029006958008,8.943397045135498,8.068404197692871,0.3470494747161865,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,31793389568.0,134785609728.0,29.8,2349120123392.0,3983591050240.0,43614739.0,157328435.5,6.199999999999999,1801760768.0,47465263104.0,1.336760483286004,16285696.0,4169728.0,20373.0,3935.0,0.0,2299.1875,46068.0,1626.0,37.0,62.845,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,89.0385,,0.0,1005.0,1005.0,10.7,5988581376.0,68478390272.0,4.443042093354828,8564736.0,383000576.0,13642.0,1462554.0,0.0,41059.1875,46068.0,40378.0,38.0,64.1845,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1832,11.833608865737917,1.073551893234253,0.0476350784301757,0.3806807994842529,10.304311990737917,10.21281385421753,8.068825721740723,1.6152739524841309,21.0,2327.0,2348.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,31798138880.0,134785609728.0,29.8,2349120123392.0,3983595408384.0,43614739.0,157328674.0,6.1,1801760768.0,47465263104.0,1.336760483286004,16285696.0,4268032.0,20382.0,4026.0,0.0,2299.1875,46068.0,1626.0,37.0,62.21,,0.0,27.0,3617.1875,46068.0,2944.0,36.5,77.6165,,27.0,1005.0,1005.0,11.0,5988581376.0,68478390272.0,4.443042093354828,8564736.0,385044480.0,13650.0,1470153.0,0.0,41059.1875,46068.0,40378.0,38.0,65.0865,,0.0,1005.0,0,0,0.2659075191683887,6,14,4800,0.6395011066666666,1005,0.6827405790487925
1833,10.671059131622314,1.0567948818206787,0.0371971130371093,0.3790249824523926,9.035816192626951,8.945115089416504,8.065106868743896,0.3503830432891845,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,31773401088.0,134785609728.0,29.8,2349120123392.0,3983604297386.6665,43614739.0,157329010.0,5.9,1801760768.0,47465263104.0,1.336760483286004,16285696.0,4323328.0,20392.0,4103.5,1.5,2299.1875,46068.0,1626.0,37.0,63.849,,1.5,0.0,3617.1875,46068.0,2944.0,36.0,61.941500000000005,,0.0,1005.0,1005.0,24.1,5988581376.0,68478390272.0,4.443042093354828,8564736.0,390600704.0,13672.5,1491644.0,0.0,41059.1875,46068.0,40378.0,38.0,80.0745,,0.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1834,10.338879108428957,1.0750060081481934,0.0470988750457763,0.379112958908081,8.850182056427002,8.767298936843872,8.068188190460205,0.1896932125091552,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,31853092864.0,134785609728.0,29.9,2349120127488.0,3983612023808.0,43614740.0,157329317.5,5.300000000000001,1801760768.0,47465263104.0,1.336760483286004,16285696.0,4421632.0,20399.0,4175.5,0.0,2299.1875,46068.0,1626.0,37.0,62.1355,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,61.9725,,0.0,1005.0,1005.0,10.9,5988581376.0,68478390272.0,4.443042093354828,8564736.0,392644608.0,13680.5,1499243.0,21.0,41059.1875,46068.0,40378.0,38.5,91.2205,,21.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1835,10.343200922012327,1.0747640132904053,0.045987844467163,0.3806271553039551,8.845643043518066,8.76381802558899,8.067599296569824,0.1893553733825683,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,31925350400.0,134785609728.0,29.9,2349120129536.0,3983617336320.0,43614740.5,157329568.5,5.699999999999999,1802022912.0,47465263104.0,1.3369549728910362,16285696.0,4519936.0,20408.5,4267.0,0.0,2299.1875,46068.0,1626.0,37.0,62.701,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,61.8995,,0.0,1005.0,1005.0,9.0,5988581376.0,68478390272.0,4.443042093354828,8564736.0,394688512.0,13688.5,1506834.0,39.0,41059.1875,46068.0,40378.0,39.0,92.21,,39.0,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1836,10.289228200912476,1.069200038909912,0.0482439994812011,0.3787059783935547,8.81137204170227,8.729554176330566,8.034623861312866,0.190075397491455,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,32002179072.0,134785609728.0,30.0,2349120131584.0,3983621981184.0,43614741.0,157329788.0,5.8,1802285056.0,47465263104.0,1.337149462496068,16285696.0,4620288.0,20418.0,4358.0,0.0,2299.1875,46068.0,1626.0,37.0,62.601,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,61.948,,0.0,1005.0,1005.0,9.0,5988581376.0,68478390272.0,4.443042093354828,8564736.0,396732416.0,13696.5,1514425.0,35.5,41059.1875,46068.0,40378.0,39.0,96.5495,,35.5,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1837,10.32722306251526,1.073478937149048,0.0473308563232421,0.3788990974426269,8.841919898986816,8.764518022537231,8.067157745361328,0.1894457340240478,5.0,2327.0,2332.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,32029368320.0,134785609728.0,30.0,2349120131584.0,3983625626624.0,43614741.0,157329959.0,6.1000000000000005,1802547200.0,47465263104.0,1.3373439521011,16285696.0,4720640.0,20430.0,4467.5,1.5,2299.1875,46068.0,1626.0,37.0,62.6435,,1.5,0.0,3617.1875,46068.0,2944.0,36.0,61.924,,0.0,1005.0,1005.0,8.5,5988581376.0,68478390272.0,4.443042093354828,8564736.0,398772224.0,13704.5,1522020.0,23.5,41059.1875,46068.0,40378.0,38.5,94.774,,23.5,1005.0,0,0,1.0,6,2,4800,0.6395011066666666,1005,0.6827405790487925
1839,11.754337072372437,1.072580099105835,0.0480451583862304,0.3792397975921631,10.268663883209229,10.174955129623411,8.06929087638855,1.5792832374572754,21.0,2327.0,2348.0,10.0,2,1024,2,3.0,8.0,1.0,256,1.0,0.2,1.0,1,2,1,20,0,1,1,4,1,1,4,1,4,1,1,1,1,0.0,31890237440.0,134785609728.0,29.9,2349120291328.0,3983638064128.0,43614753.0,157330532.0,3.666666666666666,1802809344.0,47465263104.0,1.3375384417061322,16285696.0,4935680.0,20446.666666666668,4640.666666666667,0.0,2299.1875,46068.0,1626.0,37.0,62.14266666666666,,0.0,0.0,3617.1875,46068.0,2944.0,36.0,61.97833333333333,,0.0,1005.0,1005.0,13.133333333333336,5988581376.0,68478390272.0,4.443042093354828,8564736.0,403314005.3333333,13722.333333333334,1538866.3333333333,45.66666666666666,41059.1875,46068.0,40378.0,39.0,105.645,,29.0,1005.0,0,0,0.2659075191683887,6,14,4800,0.6395011066666666,1005,0.6827405790487925
