metric_name,failure_label,description
normal,0.0,"llama3 8b,bge-large-en-v1___5,bge-reranker-large,temperature=0.2 ,retrieve_num=10,top_k=3, gpu_graph_clock=1000,max_tokens=256"
metric@rag@cpu_usage_percent,1.1,5%
metric@rag@cpu_usage_percent,1.2,8%
metric@rag@cpu_usage_percent,1.3,10%
metric@rag@cpu_usage_percent,1.4,12%
metric@rag@cpu_usage_percent,1.5,15%
metric@vllm@cpu_usage_percent,2.1,5%
metric@vllm@cpu_usage_percent,2.2,8%
metric@vllm@cpu_usage_percent,2.3,10%
metric@vllm@cpu_usage_percent,2.4,12%
metric@vllm@cpu_usage_percent,2.5,15%
metric@rag@gpu_3_gpu_graph_clock,3.1,200
metric@rag@gpu_3_gpu_graph_clock,3.2,400
metric@rag@gpu_3_gpu_graph_clock,3.3,600
metric@rag@gpu_3_gpu_graph_clock,3.4,800
metric@rag@gpu_4_gpu_graph_clock,4.1,200
metric@rag@gpu_4_gpu_graph_clock,4.2,400
metric@rag@gpu_4_gpu_graph_clock,4.3,600
metric@rag@gpu_4_gpu_graph_clock,4.4,800
metric@vllm@gpu_5_gpu_graph_clock,5.1,200
metric@vllm@gpu_5_gpu_graph_clock,5.2,400
metric@vllm@gpu_5_gpu_graph_clock,5.3,600
metric@vllm@gpu_5_gpu_graph_clock,5.4,800
log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,6.1,"repeat printing 2, sleep (2), restart rag.by"
log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,6.2,"repeat printing 3, sleep (2), restart rag.by"
log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:143] - INFO,6.3,"repeat printing 4, sleep (2), restart rag.by"
log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,7.1,"newly add, repeat printing 2, sleep (2), restart rag.by"
log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,7.2,"newly add, repeat printing 3, sleep (2), restart rag.by"
log@rag@llmrca.create_vdb.pipeline.rag - [rag.py:158] - INFO,7.3,"newly add, repeat printing 4, sleep (2), restart rag.by"
log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,8.1,"repeat printing 2, sleep (2), restart vllm.by"
log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,8.2,"repeat printing 3, sleep (2), restart vllm.by"
log@vllm@vllm.engine.async_llm_engine - [async_llm_engine.py:648] - INFO,8.3,"repeat printing 4, sleep (2), restart vllm.by"
trace@llm_request@llm_model_name,9.1,qwen2.5-7b
trace@embedding@embedding_model_name,10.1,multilingual-e5-large
trace@reranking@rerank_model_name,11.1,bge-reranker-v2-m3
quality@record@quality_kb,12.1,convert RGB to NQ
trace@retrieve@retrieve_num,13.1,6
trace@retrieve@retrieve_num,13.2,3
trace@reranking@top_k,14.1,"retrieve=10, 5"
trace@reranking@top_k,14.2,"retrieve=10, 4"
trace@reranking@top_k,14.3,"retrieve=10, 2"
trace@reranking@top_k,14.4,"retrieve=10, 1"
quality@record@quality_prompt,15.1,change prompt template
trace@llm_request@parameters_max_tokens,16.1,3
trace@llm_request@parameters_max_tokens,16.2,2
trace@llm_request@parameters_max_tokens,16.3,1
